row_type,episode,recovery_index,recovery_frame,threshold_cm,window_requested_frames,blackout_event_count,trigger_count,sam2_requested_count,sam2_inference_call_count,sam2_cache_hit_count,generated_count,accepted_count,used_count,rejected_count,not_generated_count,raw_good_count,accepted_good_count,raw_recovery_error_cm,accepted_recovery_error_cm,fallback_prior_error_cm,raw_minus_fallback_prior_cm,outcome,failure_reason,rejection_reasons,recovery_trigger,recovery_used,recovery_gate_diagnostics,recovery_gate_version,recovery_gate_status,recovery_acceptance_path,recovery_decision_category,recovery_inlier_fraction,recovery_conflict_fraction,recovery_occlusion_fraction,recovery_visible_support_pixels,recovery_inlier_pixels,recovery_visible_mask_explained,recovery_visible_cad_coverage,recovery_inlier_spatial_bins,recovery_global_inlier_fraction,B1_window_frames,B1_window_complete,B1_window_failure_percent,B1_window_auc_percent,B1_full_sequence_auc_percent,B1_latency_success,B1_latency_confirmed_frames,B1_latency_censored,B1_latency_followup_frames,B1_latency_required_good_frames,B2_window_frames,B2_window_complete,B2_window_failure_percent,B2_window_auc_percent,B2_full_sequence_auc_percent,B2_latency_success,B2_latency_confirmed_frames,B2_latency_censored,B2_latency_followup_frames,B2_latency_required_good_frames,B3_window_frames,B3_window_complete,B3_window_failure_percent,B3_window_auc_percent,B3_full_sequence_auc_percent,B3_latency_success,B3_latency_confirmed_frames,B3_latency_censored,B3_latency_followup_frames,B3_latency_required_good_frames,B4_window_frames,B4_window_complete,B4_window_failure_percent,B4_window_auc_percent,B4_full_sequence_auc_percent,B4_latency_success,B4_latency_confirmed_frames,B4_latency_censored,B4_latency_followup_frames,B4_latency_required_good_frames,B5_window_frames,B5_window_complete,B5_window_failure_percent,B5_window_auc_percent,B5_full_sequence_auc_percent,B5_latency_success,B5_latency_confirmed_frames,B5_latency_censored,B5_latency_followup_frames,B5_latency_required_good_frames,aggregation,raw_accuracy_percent,accepted_accuracy_percent,acceptance_percent,rejection_percent,B1_complete_window_count,B1_incomplete_window_count,B2_complete_window_count,B2_incomplete_window_count,B3_complete_window_count,B3_incomplete_window_count,B4_complete_window_count,B4_incomplete_window_count,B5_complete_window_count,B5_incomplete_window_count
event,tomato_soup_can_yalehand0_black10,100.0,169.0,1.0,60,1,1,1,0.0,1,1,0,0,1,0,1,0,0.3092008911358477,,0.36638192702563455,-0.057181035889786846,rejected,raw_recovery_rejected_by_pose_validity,"[""current_depth_free_space_conflict""]",blackout_exit,False,"{""recovery_gate_version"": ""occlusion_aware_v1_development"", ""recovery_gate_status"": ""development_unvalidated"", ""recovery_gate_config"": {""version"": ""occlusion_aware_v1_development"", ""status"": ""development_unvalidated"", ""min_support"": 50, ""min_inliers"": 50, ""min_depth_m"": 0.05, ""max_depth_m"": 5.0, ""depth_tolerance_floor_m"": 0.01, ""depth_tolerance_diameter_fraction"": 0.05, ""max_conflict_fraction"": 0.1, ""min_global_inlier_fraction"": 0.1, ""min_mask_explained"": 0.6, ""normal_min_cad_coverage"": 0.3, ""normal_min_inlier_fraction"": 0.6, ""normal_min_spatial_bins"": 3, ""occluded_min_cad_coverage"": 0.1, ""occluded_min_inlier_fraction"": 0.8, ""occluded_min_spatial_bins"": 4, ""min_occlusion_fraction"": 0.1, ""spatial_grid_size"": 4, ""rotation_tolerance"": 0.001}, ""recovery_acceptance_path"": ""none"", ""recovery_decision_category"": ""geometric_conflict"", ""recovery_hard_gate_pass"": false, ""recovery_rejection_reasons"": [""current_depth_free_space_conflict""], ""recovery_pose_valid"": false, ""accepted_recovery"": false, ""raw_recovery_generated"": true, ""recovery_depth_tolerance_m"": 0.01, ""recovery_comparable_pixels"": 1012, ""recovery_visible_support_pixels"": 353, ""recovery_inlier_pixels"": 237, ""recovery_occlusion_fraction"": 0.5592885375494071, ""recovery_conflict_fraction"": 0.16591928251121077, ""recovery_inlier_fraction"": 0.6713881019830028, ""recovery_global_inlier_fraction"": 0.2341897233201581, ""recovery_visible_mask_explained"": 0.8163265306122449, ""recovery_visible_cad_coverage"": 0.6484641638225256, ""recovery_inlier_spatial_bins"": 12, ""recovery_depth_method"": ""sparse_cad_point_zbuffer""}",occlusion_aware_v1_development,development_unvalidated,none,geometric_conflict,0.6713881019830028,0.16591928251121077,0.5592885375494071,353.0,237.0,0.8163265306122449,0.6484641638225256,12.0,0.2341897233201581,60.0,1.0,100.0,0.0,7.082273404903375,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,7.0905385507832,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,7.448886195063566,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,7.103242386117003,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333333,1.6057724391057717,90.7550516877734,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,
event,tomato_soup_can_yalehand0_black10_2,260.0,420.0,1.0,60,1,1,1,0.0,1,1,0,0,1,0,1,0,0.44646571395930396,,0.7993659404509628,-0.3529002264916588,rejected,raw_recovery_rejected_by_pose_validity,"[""current_depth_free_space_conflict""]",blackout_exit,False,"{""recovery_gate_version"": ""occlusion_aware_v1_development"", ""recovery_gate_status"": ""development_unvalidated"", ""recovery_gate_config"": {""version"": ""occlusion_aware_v1_development"", ""status"": ""development_unvalidated"", ""min_support"": 50, ""min_inliers"": 50, ""min_depth_m"": 0.05, ""max_depth_m"": 5.0, ""depth_tolerance_floor_m"": 0.01, ""depth_tolerance_diameter_fraction"": 0.05, ""max_conflict_fraction"": 0.1, ""min_global_inlier_fraction"": 0.1, ""min_mask_explained"": 0.6, ""normal_min_cad_coverage"": 0.3, ""normal_min_inlier_fraction"": 0.6, ""normal_min_spatial_bins"": 3, ""occluded_min_cad_coverage"": 0.1, ""occluded_min_inlier_fraction"": 0.8, ""occluded_min_spatial_bins"": 4, ""min_occlusion_fraction"": 0.1, ""spatial_grid_size"": 4, ""rotation_tolerance"": 0.001}, ""recovery_acceptance_path"": ""none"", ""recovery_decision_category"": ""geometric_conflict"", ""recovery_hard_gate_pass"": false, ""recovery_rejection_reasons"": [""current_depth_free_space_conflict""], ""recovery_pose_valid"": false, ""accepted_recovery"": false, ""raw_recovery_generated"": true, ""recovery_depth_tolerance_m"": 0.01, ""recovery_comparable_pixels"": 1027, ""recovery_visible_support_pixels"": 381, ""recovery_inlier_pixels"": 220, ""recovery_occlusion_fraction"": 0.4625121713729309, ""recovery_conflict_fraction"": 0.22282608695652173, ""recovery_inlier_fraction"": 0.5774278215223098, ""recovery_global_inlier_fraction"": 0.21421616358325218, ""recovery_visible_mask_explained"": 0.8070342205323194, ""recovery_visible_cad_coverage"": 0.6274944567627494, ""recovery_inlier_spatial_bins"": 12, ""recovery_depth_method"": ""sparse_cad_point_zbuffer""}",occlusion_aware_v1_development,development_unvalidated,none,geometric_conflict,0.5774278215223098,0.22282608695652173,0.4625121713729309,381.0,220.0,0.8070342205323194,0.6274944567627494,12.0,0.21421616358325218,60.0,1.0,100.0,0.0,18.9933434964016,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,19.000537234482188,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,19.353527839766375,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,19.020434807896578,0.0,,1.0,60.0,5.0,60.0,1.0,98.33333333333333,1.5340340340340337,86.54441903677377,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,
event,tomato_soup_can_yalehand0_black10_3,340.0,500.0,1.0,60,1,1,1,0.0,1,1,0,0,1,0,1,0,0.42671268883924823,,1.4363758269111273,-1.009663138071879,rejected,raw_recovery_rejected_by_pose_validity,"[""current_depth_free_space_conflict""]",blackout_exit,False,"{""recovery_gate_version"": ""occlusion_aware_v1_development"", ""recovery_gate_status"": ""development_unvalidated"", ""recovery_gate_config"": {""version"": ""occlusion_aware_v1_development"", ""status"": ""development_unvalidated"", ""min_support"": 50, ""min_inliers"": 50, ""min_depth_m"": 0.05, ""max_depth_m"": 5.0, ""depth_tolerance_floor_m"": 0.01, ""depth_tolerance_diameter_fraction"": 0.05, ""max_conflict_fraction"": 0.1, ""min_global_inlier_fraction"": 0.1, ""min_mask_explained"": 0.6, ""normal_min_cad_coverage"": 0.3, ""normal_min_inlier_fraction"": 0.6, ""normal_min_spatial_bins"": 3, ""occluded_min_cad_coverage"": 0.1, ""occluded_min_inlier_fraction"": 0.8, ""occluded_min_spatial_bins"": 4, ""min_occlusion_fraction"": 0.1, ""spatial_grid_size"": 4, ""rotation_tolerance"": 0.001}, ""recovery_acceptance_path"": ""none"", ""recovery_decision_category"": ""geometric_conflict"", ""recovery_hard_gate_pass"": false, ""recovery_rejection_reasons"": [""current_depth_free_space_conflict""], ""recovery_pose_valid"": false, ""accepted_recovery"": false, ""raw_recovery_generated"": true, ""recovery_depth_tolerance_m"": 0.01, ""recovery_comparable_pixels"": 1180, ""recovery_visible_support_pixels"": 401, ""recovery_inlier_pixels"": 191, ""recovery_occlusion_fraction"": 0.5067796610169492, ""recovery_conflict_fraction"": 0.36597938144329895, ""recovery_inlier_fraction"": 0.4763092269326683, ""recovery_global_inlier_fraction"": 0.16186440677966102, ""recovery_visible_mask_explained"": 0.8351836037574722, ""recovery_visible_cad_coverage"": 0.6174242424242424, ""recovery_inlier_spatial_bins"": 10, ""recovery_depth_method"": ""sparse_cad_point_zbuffer""}",occlusion_aware_v1_development,development_unvalidated,none,geometric_conflict,0.4763092269326683,0.36597938144329895,0.5067796610169492,401.0,191.0,0.8351836037574722,0.6174242424242424,10.0,0.16186440677966102,60.0,1.0,100.0,0.0,24.75372926443263,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,24.758321012143643,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,25.150762383178282,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,24.76551475022423,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,1.4272605939272602,78.10662344301485,0.0,,1.0,60.0,5.0,,,,,,,,,,,,,,,
event,tomato_soup_can_yalehand0_black10_4,500.0,669.0,1.0,60,1,1,1,0.0,1,1,1,1,0,0,1,1,0.34824375325219137,0.34824375325219137,0.4594899447158963,-0.11124619146370496,accepted,,[],blackout_exit,True,"{""recovery_gate_version"": ""occlusion_aware_v1_development"", ""recovery_gate_status"": ""development_unvalidated"", ""recovery_gate_config"": {""version"": ""occlusion_aware_v1_development"", ""status"": ""development_unvalidated"", ""min_support"": 50, ""min_inliers"": 50, ""min_depth_m"": 0.05, ""max_depth_m"": 5.0, ""depth_tolerance_floor_m"": 0.01, ""depth_tolerance_diameter_fraction"": 0.05, ""max_conflict_fraction"": 0.1, ""min_global_inlier_fraction"": 0.1, ""min_mask_explained"": 0.6, ""normal_min_cad_coverage"": 0.3, ""normal_min_inlier_fraction"": 0.6, ""normal_min_spatial_bins"": 3, ""occluded_min_cad_coverage"": 0.1, ""occluded_min_inlier_fraction"": 0.8, ""occluded_min_spatial_bins"": 4, ""min_occlusion_fraction"": 0.1, ""spatial_grid_size"": 4, ""rotation_tolerance"": 0.001}, ""recovery_acceptance_path"": ""normal"", ""recovery_decision_category"": ""accepted"", ""recovery_hard_gate_pass"": true, ""recovery_rejection_reasons"": [], ""recovery_pose_valid"": true, ""accepted_recovery"": true, ""raw_recovery_generated"": true, ""recovery_depth_tolerance_m"": 0.01, ""recovery_comparable_pixels"": 1252, ""recovery_visible_support_pixels"": 316, ""recovery_inlier_pixels"": 295, ""recovery_occlusion_fraction"": 0.6669329073482428, ""recovery_conflict_fraction"": 0.045563549160671464, ""recovery_inlier_fraction"": 0.9335443037974683, ""recovery_global_inlier_fraction"": 0.2356230031948882, ""recovery_visible_mask_explained"": 0.9626168224299065, ""recovery_visible_cad_coverage"": 0.5250231696014829, ""recovery_inlier_spatial_bins"": 11, ""recovery_depth_method"": ""sparse_cad_point_zbuffer"", ""recovery_normal_path_pass"": true, ""recovery_occlusion_path_pass"": true}",occlusion_aware_v1_development,development_unvalidated,normal,accepted,0.9335443037974683,0.045563549160671464,0.6669329073482428,316.0,295.0,0.9626168224299065,0.5250231696014829,11.0,0.2356230031948882,60.0,1.0,100.0,0.0,36.84919629109232,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,36.847818766779014,0.0,,1.0,60.0,5.0,60.0,1.0,73.33333333333333,80.82582582582583,44.9703143510483,1.0,4.0,0.0,60.0,5.0,60.0,1.0,100.0,0.0,36.866185757623064,0.0,,1.0,60.0,5.0,60.0,1.0,0.0,97.61094427761094,96.8724841049,1.0,4.0,0.0,60.0,5.0,,,,,,,,,,,,,,,
event,tomato_soup_can_yalehand0_black10_5,610.0,806.0,1.0,60,1,1,1,0.0,1,1,0,0,1,0,1,0,0.35028757484903483,,0.3054928568230989,0.04479471802593593,rejected,raw_recovery_rejected_by_pose_validity,"[""current_depth_free_space_conflict""]",blackout_exit,False,"{""recovery_gate_version"": ""occlusion_aware_v1_development"", ""recovery_gate_status"": ""development_unvalidated"", ""recovery_gate_config"": {""version"": ""occlusion_aware_v1_development"", ""status"": ""development_unvalidated"", ""min_support"": 50, ""min_inliers"": 50, ""min_depth_m"": 0.05, ""max_depth_m"": 5.0, ""depth_tolerance_floor_m"": 0.01, ""depth_tolerance_diameter_fraction"": 0.05, ""max_conflict_fraction"": 0.1, ""min_global_inlier_fraction"": 0.1, ""min_mask_explained"": 0.6, ""normal_min_cad_coverage"": 0.3, ""normal_min_inlier_fraction"": 0.6, ""normal_min_spatial_bins"": 3, ""occluded_min_cad_coverage"": 0.1, ""occluded_min_inlier_fraction"": 0.8, ""occluded_min_spatial_bins"": 4, ""min_occlusion_fraction"": 0.1, ""spatial_grid_size"": 4, ""rotation_tolerance"": 0.001}, ""recovery_acceptance_path"": ""none"", ""recovery_decision_category"": ""geometric_conflict"", ""recovery_hard_gate_pass"": false, ""recovery_rejection_reasons"": [""current_depth_free_space_conflict""], ""recovery_pose_valid"": false, ""accepted_recovery"": false, ""raw_recovery_generated"": true, ""recovery_depth_tolerance_m"": 0.01, ""recovery_comparable_pixels"": 1256, ""recovery_visible_support_pixels"": 429, ""recovery_inlier_pixels"": 370, ""recovery_occlusion_fraction"": 0.6345541401273885, ""recovery_conflict_fraction"": 0.10457516339869281, ""recovery_inlier_fraction"": 0.8624708624708625, ""recovery_global_inlier_fraction"": 0.2945859872611465, ""recovery_visible_mask_explained"": 0.7704735376044568, ""recovery_visible_cad_coverage"": 0.8397085610200364, ""recovery_inlier_spatial_bins"": 15, ""recovery_depth_method"": ""sparse_cad_point_zbuffer""}",occlusion_aware_v1_development,development_unvalidated,none,geometric_conflict,0.8624708624708625,0.10457516339869281,0.6345541401273885,429.0,370.0,0.7704735376044568,0.8397085610200364,15.0,0.2945859872611465,60.0,1.0,100.0,0.0,45.079636211134684,0.0,,1.0,60.0,5.0,60.0,1.0,100.0,0.0,45.072978176953704,0.0,,1.0,60.0,5.0,60.0,1.0,18.333333333333332,87.88955622288954,51.8285104676542,1.0,4.0,0.0,60.0,5.0,60.0,1.0,100.0,0.0,45.084342752538475,0.0,,1.0,60.0,5.0,60.0,1.0,61.66666666666667,36.677510844177505,94.1551260740863,1.0,42.0,0.0,60.0,5.0,,,,,,,,,,,,,,,
summary,tomato_soup_can_yalehand0,,,1.0,60,5,5,5,,5,5,1,1,4,0,5,1,0.37618212440712523,0.34824375325219137,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,26.551635733592924,,,,,,,,100.0,0.0,26.55403874822835,,,,,,,,78.33333333333333,33.74307640974307,29.750400247342146,,,,,,,,100.0,0.0,26.56794409087987,,,,,,,,71.66666666666666,27.7711044377711,89.28674086930967,,,,,,within_base_event_mean_not_independent_samples,100.0,100.0,20.0,80.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
