Baseline / Method,ADD-S (cracker_box_reorient_clean),Failure Rate (cracker_box_reorient_clean),Legacy latency <0.5cm single-frame (cracker_box_reorient_clean),False Triggers (cracker_box_reorient_clean),ADD-S (cracker_box_reorient_black10),Failure Rate (cracker_box_reorient_black10),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10),False Triggers (cracker_box_reorient_black10),ADD-S (cracker_box_reorient_black10_2),Failure Rate (cracker_box_reorient_black10_2),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_2),False Triggers (cracker_box_reorient_black10_2),ADD-S (cracker_box_reorient_black10_3),Failure Rate (cracker_box_reorient_black10_3),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_3),False Triggers (cracker_box_reorient_black10_3),ADD-S (cracker_box_reorient_black10_4),Failure Rate (cracker_box_reorient_black10_4),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_4),False Triggers (cracker_box_reorient_black10_4),ADD-S (cracker_box_reorient_black10_5),Failure Rate (cracker_box_reorient_black10_5),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_5),False Triggers (cracker_box_reorient_black10_5),ADD-S (cracker_box_reorient_occ40),Failure Rate (cracker_box_reorient_occ40),Legacy latency <0.5cm single-frame (cracker_box_reorient_occ40),False Triggers (cracker_box_reorient_occ40),ADD-S (cracker_box_reorient_occ60),Failure Rate (cracker_box_reorient_occ60),Legacy latency <0.5cm single-frame (cracker_box_reorient_occ60),False Triggers (cracker_box_reorient_occ60),ADD-S (cracker_box_reorient_drop60),Failure Rate (cracker_box_reorient_drop60),Legacy latency <0.5cm single-frame (cracker_box_reorient_drop60),False Triggers (cracker_box_reorient_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,53.831%,44.267%,N/A,N/A,53.439%,45.600%,2.0 frames,N/A,53.825%,44.267%,N/A (Failed),N/A,53.439%,45.600%,2.0 frames,N/A,46.858%,51.467%,N/A (Failed),N/A,53.830%,44.267%,N/A (Failed),N/A,54.006%,44.267%,N/A,N/A,50.010%,51.200%,N/A,N/A,13.055%,90.667%,N/A,N/A,48.032%
B2: Fixed-Alpha (0.5) Interpolation,53.812%,44.267%,N/A,N/A,53.359%,45.600%,8.0 frames,N/A,53.805%,44.267%,N/A (Failed),N/A,53.363%,45.600%,7.0 frames,N/A,46.864%,51.467%,N/A (Failed),N/A,53.810%,44.267%,N/A (Failed),N/A,53.981%,44.267%,N/A,N/A,50.001%,51.200%,N/A,N/A,13.069%,90.667%,N/A,N/A,48.007%
B3: Hard Depth Threshold,53.835%,44.267%,N/A,N/A,53.735%,44.533%,2.0 frames,N/A,53.854%,44.267%,N/A (Failed),N/A,53.747%,44.533%,2.0 frames,N/A,47.451%,51.200%,N/A (Failed),N/A,53.885%,44.267%,N/A (Failed),N/A,45.006%,56.800%,N/A,N/A,44.946%,56.800%,N/A,N/A,5.203%,97.333%,N/A,N/A,45.740%
B4: Robust Huber Weighting,53.832%,44.267%,N/A,N/A,53.408%,45.600%,6.0 frames,N/A,53.827%,44.267%,N/A (Failed),N/A,53.406%,45.600%,3.0 frames,N/A,46.858%,51.467%,N/A (Failed),N/A,53.832%,44.267%,N/A (Failed),N/A,54.002%,44.267%,N/A,N/A,50.007%,51.200%,N/A,N/A,13.035%,90.667%,N/A,N/A,48.023%
B5 slot: no_recovery_admission,94.091%,0.800%,N/A,N/A,94.760%,0.000%,0.0 frames,N/A,94.254%,1.600%,0.0 frames,N/A,94.242%,0.533%,0.0 frames,N/A,93.815%,1.867%,0.0 frames,N/A,94.606%,0.000%,0.0 frames,N/A,94.717%,0.000%,N/A,N/A,93.548%,0.800%,N/A,N/A,95.141%,0.000%,N/A,N/A,94.353%
"B6: Recursive Obs/Prior Oracle (diagnostic, not a global upper bound)",55.860%,43.467%,N/A,N/A,55.788%,43.733%,2.0 frames,N/A,54.954%,44.000%,N/A (Failed),N/A,55.806%,43.733%,2.0 frames,N/A,48.084%,51.200%,N/A (Failed),N/A,55.842%,43.733%,N/A (Failed),N/A,54.884%,43.733%,N/A,N/A,51.013%,50.667%,N/A,N/A,13.737%,89.867%,N/A,N/A,49.552%
