variant,base_sequence,object_id,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
full,cracker_box_reorient,003_cracker_box,94.34906017128239,48.03249175101027,6.192592592592593,0.6222222222222222,11.792592592592591,67.378831795155,605.9990682110742,63.014947310090065,68.66666666666667,68.11111111111111,68.11111111111111,68.11111111111111,185427.99968137924,1.4814814814814818,17.730086864972556,18148.19353725761,0.5555555555555556
full,cracker_box_yalehand0,003_cracker_box,92.24787879229812,0.3920985374556503,10.566859248095119,2.8049903709285773,16.695972536213684,73.11274527803904,1592.2824179425052,58.38019119239212,794.6666666666666,821.3333333333334,794.2222222222222,794.2222222222222,2000266.8510777876,2.4700661475341206,21.98673235749236,2490.7280940562487,0.5555555555555556
full,sugar_box1,004_sugar_box,80.53216759574717,51.58206105161881,27.649148597329415,16.452284699252726,27.195883866225653,51.45381188356752,236.79166374600078,33.388140736964424,58.333333333333336,102.33333333333333,58.111111111111114,58.111111111111114,157166.3729947888,5.5249295602107065,15.79308510739386,17454.447991773486,0.5555555555555556
full,sugar_box_yalehand0,004_sugar_box,90.61469431285356,29.783648141377128,21.224218230206258,5.766245287203371,21.12441783100466,79.13497405266406,247.87799426019652,55.550276366760386,58.77777777777778,58.22222222222222,58.22222222222222,58.22222222222222,166684.23867805136,0.5544466622310933,20.567921486105476,2478.5829667001963,0.5555555555555556
full,tomato_soup_can_yalehand0,005_tomato_soup_can,73.89857152429357,38.31855555861672,25.3482840638804,24.75365273530411,25.254841997961265,47.804967013666925,64.1620074328563,27.77225229458145,1.4444444444444444,1.3333333333333333,1.3333333333333333,1.3333333333333333,5929.720118020971,0.4587155963302752,16.022445751490807,27940.222331508994,0.5555555555555556
simple,cracker_box_reorient,003_cracker_box,82.6129388647907,48.03249175101027,29.18518518518518,18.48888888888889,37.096296296296295,49.429154877722986,585.9977837552627,62.547967206824715,68.66666666666667,68.11111111111111,68.11111111111111,68.11111111111111,185358.03880407993,28.85925925925926,17.65919057417799,17176.026674732566,0.5555555555555556
simple,cracker_box_yalehand0,003_cracker_box,72.33202389360808,0.3920985374556503,40.98635183789668,31.055848614251026,48.85707108766641,50.794963066541214,1563.7637359043126,56.978815734039586,794.6666666666666,821.3333333333334,794.2222222222222,794.2222222222222,1993669.9194830533,34.52231432638366,21.285320152968787,2501.5557458624244,0.5555555555555556
simple,sugar_box1,004_sugar_box,77.85941644204537,51.58206105161881,29.082445179468337,18.09383804973662,29.10694597574421,35.643030784344774,220.65285021973366,33.39384651124389,58.333333333333336,102.33333333333333,58.111111111111114,58.111111111111114,157211.39664378844,11.380619870145779,15.814113179679254,17073.673532530665,0.5555555555555556
simple,sugar_box_yalehand0,004_sugar_box,90.67166523365238,29.783648141377128,21.590153027278777,5.6220891550232865,21.324018629407853,61.32272437790417,233.40349035190093,58.58371056850532,58.77777777777778,58.22222222222222,58.22222222222222,58.22222222222222,169810.46122115932,1.6189842537147927,20.95494710723172,2471.5756576508284,0.5555555555555556
simple,tomato_soup_can_yalehand0,005_tomato_soup_can,73.65564681228969,38.31855555861672,25.237852531430512,24.98301053346925,25.271831464492017,32.10058115173908,49.39232161996435,28.137647277605,1.4444444444444444,1.3333333333333333,1.3333333333333333,1.3333333333333333,6191.21295099871,0.9259259259259258,16.46888596260483,29673.11992160976,0.5555555555555556
