variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,runtime_scope,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_drop60,1327,92.72429928044096,0.3890099594696429,5.0489826676714396,2.3360964581763377,6.40542577241899,75.4687729378682,1878.3737753567755,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.60185779395324,946,974,946,946,2381212.038932368,2.110022607385079,22.02481919858877,,0
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_clean,1002,93.49359339379299,91.22146098194001,17.56487025948104,0.7984031936127743,16.666666666666664,82.85520963922694,113.13438335500524,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.28265912789933,3,3,3,3,30413.767229765654,0.0,21.222396301079595,,0
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10,1002,93.05642968317619,11.605417793042543,15.868263473053892,3.1936127744510974,15.06986027944112,79.01026854999625,114.27035741229167,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.34154173054411,5,4,4,4,32957.860126160085,0.998003992015968,20.731930377448865,2468.66380609572,1
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_2,1002,93.45203486920055,20.41117964271657,17.365269461077844,1.5968063872255487,16.86626746506986,79.77736698191067,112.82588742085976,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.395625265519655,4,3,3,3,30721.90273087472,0.998003992015968,20.826141426187313,2475.329961627722,1
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_3,1002,93.48829867791943,28.15020609431787,17.56487025948104,0.39920159680638717,16.766467065868262,78.96621733482084,112.03488219388112,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.56634696309052,4,3,3,3,30730.71912955493,0.998003992015968,20.084726173400938,2496.903417631984,1
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_4,1002,93.47291403179626,43.490796185406964,17.56487025948104,1.1976047904191618,16.766467065868262,79.86318996411288,113.06408774888445,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.439828460645714,4,3,3,3,30893.95186677575,0.998003992015968,21.074247356883422,2478.7796875461936,1
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_5,1002,93.47940755126385,53.79965794137451,17.964071856287426,0.19960079840319359,17.26546906187625,76.70716639563352,112.0518212812672,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.845579014998115,4,3,3,3,33023.69528170675,0.998003992015968,17.754255849756525,2473.237960599363,1
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ40,1002,89.63399527271783,8.342524160887434,21.057884231536928,6.58682634730539,20.459081836327346,81.52150022431265,315.4018797629147,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.88642536511946,86,86,86,86,234986.73584125936,0.0,20.978724116463205,,0
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ60,1002,74.0531449613286,8.083083083083084,42.71457085828344,33.63273453093812,42.21556886227545,81.82594900634331,411.8474897344833,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.52929513037443,125,125,125,125,331418.2145986706,0.0,20.896511684039872,,0
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_drop60,1002,91.40243037448627,2.9485073896251546,23.353293413173652,4.291417165668663,28.043912175648707,71.68789837761956,826.2711594321815,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.665186242652155,294,294,294,294,745011.3012976944,0.0,21.542360089689552,,0
