Metric,Value
Shared error MAE_obs_cm,19.56434999310914
Shared error MedianAE_obs_cm,15.56624465254739
Shared error Spearman_obs,0.8548015256023997
AUROC_obs_abs_risk,
AUPRC_obs_abs_risk,
Brier_obs_abs_risk,2.545541054856275e-05
ECE_obs_abs_risk,5.709025351086577e-05
Shared error MAE_prior_cm,19.623011921302464
Shared error MedianAE_prior_cm,15.643161198830228
Shared error Spearman_prior,0.8554707743843755
AUROC_prior_abs_risk,1.0
AUPRC_prior_abs_risk,1.0
Brier_prior_abs_risk,7.256999251644212e-05
ECE_prior_abs_risk,0.0001247884015110637
Pairwise_AUROC_prior_worse,0.6732893795497572
Pairwise_balanced_accuracy,0.6463610912596021
Pairwise_ordering_accuracy,0.6466659367130188
p_risk_threshold_shared,0.59
prior_advantage_margin_cm,0.1
