episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
bleach_hard_00_03_chaitanya_black10,0,0.25582757710398607,0.25582757710398607,0.8783342112503651,0.8783342112503651,0.031502308347811966,0.031502308347811966,0.05334335086401202,0.05334335086401202,0.0,0.0,MODE_1_ACCEPT,0.25582757710398607,0.25582757710398607,0.25582757710398607,0.25582757710398607,0.25582757710398607,0.25582757710398607
bleach_hard_00_03_chaitanya_black10,1,0.23594545113683152,0.23594545113683152,1.015379705988885,1.015379705988885,0.03641757793156803,0.03641757793156803,0.05334335086401202,0.05334335086401202,0.0,0.0,MODE_1_ACCEPT,0.23594545113683152,0.23594545113683132,0.23594545113683152,0.2359454511368324,0.23594545113683152,0.23594545113683152
bleach_hard_00_03_chaitanya_black10,4,0.26578486346817176,0.25189165377373246,1.290838430334787,1.2568199157024837,0.04629717223666341,0.045077065216175397,0.375,0.25,-0.013893209694439301,-0.03401851463230332,MODE_3_UNCERTAIN_FUSION,0.26578486346817176,0.2547032496732372,0.26578486346817176,0.2657848706318479,0.2657035761408447,0.25189165377373246
bleach_hard_00_03_chaitanya_black10,5,0.296442745981432,0.2938192166810396,1.285239716719083,1.334615454239502,0.046096368942867165,0.047867277656595375,0.33952309161501426,0.375,-0.002623529300392391,0.049375737520418905,MODE_3_UNCERTAIN_FUSION,0.296442745981432,0.288381628030337,0.296442745981432,0.29644274072480115,0.296442745981432,0.296442745981432
bleach_hard_00_03_chaitanya_black10,6,0.2997043675882273,0.3242727559023001,1.3535341029052506,1.521988018956656,0.04854581333943519,0.054587576415352945,0.75,0.8484848484848485,0.024568388314072764,0.16845391605140536,MODE_3_UNCERTAIN_FUSION,0.2997043675882273,0.30648606637553716,0.2997043675882273,0.2997043646386623,0.2997043675882273,0.2997043675882273
bleach_hard_00_03_chaitanya_black10,7,0.29689312816203006,0.30428160303970236,1.2687845479343527,1.3567476160387277,0.04550618835519095,0.04866106910462556,0.25,0.75,0.007388474877672302,0.08796306810437504,MODE_3_UNCERTAIN_FUSION,0.29689312816203006,0.3088208631343451,0.29689312816203006,0.29689311163240245,0.29689312816203006,0.29689312816203006
bleach_hard_00_03_chaitanya_black10,8,0.2926109352347361,0.3031002346544555,1.2625429427393848,1.2060609297899647,0.04528232713138951,0.043256544957307075,0.25,0.25,0.010489299419719433,-0.056482012949420124,MODE_3_UNCERTAIN_FUSION,0.2926109352347361,0.30457848436793633,0.2926109352347361,0.2926109044563477,0.29261562406105485,0.2926109352347361
bleach_hard_00_03_chaitanya_black10,9,0.29313425687795497,0.2911596948361416,1.2974328993801794,1.3091979646639016,0.0465336892646889,0.04695565474155715,0.375,0.375,-0.0019745620418133436,0.011765065283722231,MODE_3_UNCERTAIN_FUSION,0.29313425687795497,0.29719473001886576,0.29313425687795497,0.2931342468093116,0.29313425687795497,0.2912152896756907
bleach_hard_00_03_chaitanya_black10,10,0.31574392090172737,0.29505932296118176,1.5119470618099045,1.4061968807348801,0.054227447748960864,0.050434614941822525,0.8484848484848485,0.75,-0.020684597940545613,-0.10575018107502432,MODE_2_UNCERTAINTY_FUSION,0.31574392090172737,0.30106517923881515,0.31574392090172737,0.3157439193611586,0.3139812888812361,0.29228960634332146
bleach_hard_00_03_chaitanya_black10,11,0.30210012377390255,0.3359643771859173,1.356840005720782,1.5945789277784521,0.048664382750177496,0.05719111976327372,0.75,0.8484848484848485,0.033864253412014766,0.23773892205767022,MODE_3_UNCERTAIN_FUSION,0.30210012377390255,0.3026775269314073,0.30210012377390255,0.302100124683534,0.30210012377390255,0.29583406446464733
