Baseline / Method,ADD-S (bleach_hard_00_03_chaitanya_black10),Failure Rate (bleach_hard_00_03_chaitanya_black10),Latency (bleach_hard_00_03_chaitanya_black10),False Triggers (bleach_hard_00_03_chaitanya_black10),ADD-S (bleach_hard_00_03_chaitanya_black10_2),Failure Rate (bleach_hard_00_03_chaitanya_black10_2),Latency (bleach_hard_00_03_chaitanya_black10_2),False Triggers (bleach_hard_00_03_chaitanya_black10_2),ADD-S (bleach_hard_00_03_chaitanya_black10_3),Failure Rate (bleach_hard_00_03_chaitanya_black10_3),Latency (bleach_hard_00_03_chaitanya_black10_3),False Triggers (bleach_hard_00_03_chaitanya_black10_3),ADD-S (bleach_hard_00_03_chaitanya_black10_4),Failure Rate (bleach_hard_00_03_chaitanya_black10_4),Latency (bleach_hard_00_03_chaitanya_black10_4),False Triggers (bleach_hard_00_03_chaitanya_black10_4),ADD-S (bleach_hard_00_03_chaitanya_black10_5),Failure Rate (bleach_hard_00_03_chaitanya_black10_5),Latency (bleach_hard_00_03_chaitanya_black10_5),False Triggers (bleach_hard_00_03_chaitanya_black10_5),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,91.968%,5.669%,24.0 frames,N/A,94.064%,0.454%,7.0 frames,N/A,92.725%,7.483%,N/A (Failed),N/A,94.283%,0.000%,2.0 frames,N/A,94.067%,0.454%,3.0 frames,N/A,93.421%
B2: Fixed-Alpha (0.5) Interpolation,91.886%,6.122%,24.0 frames,N/A,93.933%,0.454%,7.0 frames,N/A,92.589%,7.483%,N/A (Failed),N/A,94.153%,0.000%,1.0 frames,N/A,93.934%,0.454%,5.0 frames,N/A,93.299%
B3: Hard Depth Threshold,73.690%,28.118%,24.0 frames,N/A,78.220%,22.449%,7.0 frames,N/A,76.608%,30.385%,N/A (Failed),N/A,78.776%,21.995%,2.0 frames,N/A,78.464%,22.449%,3.0 frames,N/A,77.152%
B4: Robust Huber Weighting,91.955%,5.669%,24.0 frames,N/A,94.042%,0.454%,7.0 frames,N/A,92.716%,7.483%,N/A (Failed),N/A,94.261%,0.000%,1.0 frames,N/A,94.050%,0.454%,3.0 frames,N/A,93.405%
B5: Proposed Shared Pose-Quality Policy,92.242%,4.989%,0.0 frames,0 times,94.092%,0.454%,0.0 frames,0 times,92.818%,7.256%,0.0 frames,0 times,94.384%,0.000%,0.0 frames,0 times,94.004%,0.907%,3.0 frames,0 times,93.508%
B6: Oracle Decision Policy (Upper Bound),92.949%,3.175%,23.0 frames,0 times,94.461%,0.227%,7.0 frames,0 times,93.300%,5.669%,N/A (Failed),0 times,94.752%,0.000%,2.0 frames,0 times,94.536%,0.454%,3.0 frames,0 times,94.000%
