variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,runtime_scope,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_clean,375,94.09129129129128,53.83076409743076,9.866666666666667,0.8,15.2,38.58957696389243,372.6313501596451,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.230986615022026,34,34,34,34,110572.20107596368,0.0,16.6841232975324,,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10,375,94.75995995995996,53.43890557223891,4.266666666666667,0.0,12.0,98.39878150854598,462.1745230431358,cached_masks_excludes_sam2_preprocessing_not_online_fps,71.82899068295956,45,44,44,44,108814.11450263113,2.666666666666667,19.268216647207737,28836.61363553256,1
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_2,375,94.25438772105439,53.825158491825164,5.6000000000000005,1.6,12.533333333333333,80.02255801513883,489.18301231662434,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.96857740481695,51,50,50,50,151387.357105501,2.666666666666667,16.123568137486775,2470.445726066828,1
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_3,375,94.24184184184185,53.43890557223891,9.6,0.5333333333333333,13.866666666666665,87.16111837791792,355.3438572188218,cached_masks_excludes_sam2_preprocessing_not_online_fps,63.67818829665581,30,29,29,29,71706.74737636,2.666666666666667,18.122920987506706,29375.11500064284,1
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_4,375,93.815015015015,46.85845845845846,5.866666666666666,1.866666666666667,18.933333333333334,82.55877893708356,593.1039263755083,cached_masks_excludes_sam2_preprocessing_not_online_fps,60.16609082122644,67,66,66,66,162823.73944018036,2.666666666666667,16.879619546234608,29361.38440761715,1
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_5,375,94.60647313980647,53.829696363029704,8.533333333333333,0.0,12.533333333333333,73.18096220984329,317.2232551326354,cached_masks_excludes_sam2_preprocessing_not_online_fps,53.4276508440574,26,25,25,25,89118.4422345832,2.666666666666667,15.619294933974743,2478.297410532832,1
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ40,375,94.71725058391725,54.00613947280614,3.733333333333334,0.0,10.133333333333333,31.578568817705523,685.5060461312532,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.67209861675898,81,81,81,81,227503.62437032163,0.0,15.748556998868784,,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ60,375,93.54781448114781,50.00960960960961,7.199999999999999,0.8,13.600000000000001,45.82188465547833,1182.987601627906,cached_masks_excludes_sam2_preprocessing_not_online_fps,72.07464184612036,155,155,155,155,408555.9484064579,0.0,17.88786619901657,,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_drop60,375,95.1414080747414,13.054788121454788,1.0666666666666667,0.0,5.333333333333334,72.72679553608651,1227.8409328833222,cached_masks_excludes_sam2_preprocessing_not_online_fps,81.7109919761618,159,159,159,159,420201.56008563936,0.0,21.67491816729307,,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_clean,1327,92.64301980956088,0.38980200999794057,8.967596081386587,2.260738507912585,14.619442351168049,75.94734567314616,1557.170483579869,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.41497659508613,782,809,782,782,1954596.6894021258,2.0346646571213265,21.507415012333656,,0
