Metric,Value,variant,base_sequence
Shared error MAE_obs_cm,2.4347213752861205,no_recovery_admission,cracker_box_reorient
Shared error MedianAE_obs_cm,0.1483283952217429,no_recovery_admission,cracker_box_reorient
Shared error Spearman_obs,0.8565344486967221,no_recovery_admission,cracker_box_reorient
AUROC_obs_abs_risk,0.9386084777160292,no_recovery_admission,cracker_box_reorient
AUPRC_obs_abs_risk,0.9157089820723228,no_recovery_admission,cracker_box_reorient
Brier_obs_abs_risk,0.084509218150869,no_recovery_admission,cracker_box_reorient
ECE_obs_abs_risk,0.0264310358173747,no_recovery_admission,cracker_box_reorient
Shared error MAE_prior_cm,0.2381858143804467,no_recovery_admission,cracker_box_reorient
Shared error MedianAE_prior_cm,0.1305149408329453,no_recovery_admission,cracker_box_reorient
Shared error Spearman_prior,0.6431707769281552,no_recovery_admission,cracker_box_reorient
AUROC_prior_abs_risk,0.8490427899773366,no_recovery_admission,cracker_box_reorient
AUPRC_prior_abs_risk,0.4603213963491239,no_recovery_admission,cracker_box_reorient
Brier_prior_abs_risk,0.1150132356684419,no_recovery_admission,cracker_box_reorient
ECE_prior_abs_risk,0.0711501853591244,no_recovery_admission,cracker_box_reorient
Pairwise_AUROC_prior_worse,0.9514005273054283,no_recovery_admission,cracker_box_reorient
Pairwise_balanced_accuracy,0.7932599942773054,no_recovery_admission,cracker_box_reorient
Pairwise_ordering_accuracy,0.9299719887955182,no_recovery_admission,cracker_box_reorient
p_risk_threshold_shared,0.2499999999999999,no_recovery_admission,cracker_box_reorient
prior_advantage_margin_cm,0.1,no_recovery_admission,cracker_box_reorient
Shared error MAE_obs_cm,4.79141336803089,no_recovery_admission,cracker_box_yalehand0
Shared error MedianAE_obs_cm,0.8225322397684206,no_recovery_admission,cracker_box_yalehand0
Shared error Spearman_obs,0.5050092238353593,no_recovery_admission,cracker_box_yalehand0
AUROC_obs_abs_risk,0.6096666127739124,no_recovery_admission,cracker_box_yalehand0
AUPRC_obs_abs_risk,0.8743409621715008,no_recovery_admission,cracker_box_yalehand0
Brier_obs_abs_risk,0.1741367990563576,no_recovery_admission,cracker_box_yalehand0
ECE_obs_abs_risk,0.0855039805205919,no_recovery_admission,cracker_box_yalehand0
Shared error MAE_prior_cm,0.7056099414325931,no_recovery_admission,cracker_box_yalehand0
Shared error MedianAE_prior_cm,0.514896063816544,no_recovery_admission,cracker_box_yalehand0
Shared error Spearman_prior,-0.073350985012123,no_recovery_admission,cracker_box_yalehand0
AUROC_prior_abs_risk,0.5743532274837726,no_recovery_admission,cracker_box_yalehand0
AUPRC_prior_abs_risk,0.4267832787295592,no_recovery_admission,cracker_box_yalehand0
Brier_prior_abs_risk,0.342890864677295,no_recovery_admission,cracker_box_yalehand0
ECE_prior_abs_risk,0.3718161569935339,no_recovery_admission,cracker_box_yalehand0
Pairwise_AUROC_prior_worse,0.9304959962305412,no_recovery_admission,cracker_box_yalehand0
Pairwise_balanced_accuracy,0.8404232617255687,no_recovery_admission,cracker_box_yalehand0
Pairwise_ordering_accuracy,0.9679608314722556,no_recovery_admission,cracker_box_yalehand0
p_risk_threshold_shared,0.2499999999999999,no_recovery_admission,cracker_box_yalehand0
prior_advantage_margin_cm,0.1,no_recovery_admission,cracker_box_yalehand0
Shared error MAE_obs_cm,0.4431443768980982,no_recovery_admission,sugar_box_yalehand0
Shared error MedianAE_obs_cm,0.1256470754467369,no_recovery_admission,sugar_box_yalehand0
Shared error Spearman_obs,0.7374320739815932,no_recovery_admission,sugar_box_yalehand0
AUROC_obs_abs_risk,0.8954244754277965,no_recovery_admission,sugar_box_yalehand0
AUPRC_obs_abs_risk,0.7500954209028943,no_recovery_admission,sugar_box_yalehand0
Brier_obs_abs_risk,0.1522655454814651,no_recovery_admission,sugar_box_yalehand0
ECE_obs_abs_risk,0.1374568943761564,no_recovery_admission,sugar_box_yalehand0
Shared error MAE_prior_cm,0.4733470235659031,no_recovery_admission,sugar_box_yalehand0
Shared error MedianAE_prior_cm,0.1370487864533774,no_recovery_admission,sugar_box_yalehand0
Shared error Spearman_prior,0.7444336734275374,no_recovery_admission,sugar_box_yalehand0
AUROC_prior_abs_risk,0.8816996146208431,no_recovery_admission,sugar_box_yalehand0
AUPRC_prior_abs_risk,0.6879075104816964,no_recovery_admission,sugar_box_yalehand0
Brier_prior_abs_risk,0.1704528385698281,no_recovery_admission,sugar_box_yalehand0
ECE_prior_abs_risk,0.1556433347525142,no_recovery_admission,sugar_box_yalehand0
Pairwise_AUROC_prior_worse,0.8222775017067574,no_recovery_admission,sugar_box_yalehand0
Pairwise_balanced_accuracy,0.7927931950615079,no_recovery_admission,sugar_box_yalehand0
Pairwise_ordering_accuracy,0.8105147864184009,no_recovery_admission,sugar_box_yalehand0
p_risk_threshold_shared,0.2499999999999999,no_recovery_admission,sugar_box_yalehand0
prior_advantage_margin_cm,0.1,no_recovery_admission,sugar_box_yalehand0
Shared error MAE_obs_cm,8.302396477487257,no_recovery_admission,sugar_box1
Shared error MedianAE_obs_cm,0.1659559628370366,no_recovery_admission,sugar_box1
Shared error Spearman_obs,0.7402990788235438,no_recovery_admission,sugar_box1
AUROC_obs_abs_risk,0.7753529843752772,no_recovery_admission,sugar_box1
AUPRC_obs_abs_risk,0.7341042738022283,no_recovery_admission,sugar_box1
Brier_obs_abs_risk,0.1871142965277386,no_recovery_admission,sugar_box1
ECE_obs_abs_risk,0.1683783598753487,no_recovery_admission,sugar_box1
Shared error MAE_prior_cm,5.27351092045471,no_recovery_admission,sugar_box1
Shared error MedianAE_prior_cm,0.1703255648269865,no_recovery_admission,sugar_box1
Shared error Spearman_prior,0.6452665806758493,no_recovery_admission,sugar_box1
AUROC_prior_abs_risk,0.7435475849685712,no_recovery_admission,sugar_box1
AUPRC_prior_abs_risk,0.6119340620466965,no_recovery_admission,sugar_box1
Brier_prior_abs_risk,0.2210195255426358,no_recovery_admission,sugar_box1
ECE_prior_abs_risk,0.2013307770466897,no_recovery_admission,sugar_box1
Pairwise_AUROC_prior_worse,0.8770493811032366,no_recovery_admission,sugar_box1
Pairwise_balanced_accuracy,0.8076316992716941,no_recovery_admission,sugar_box1
Pairwise_ordering_accuracy,0.8164155432196669,no_recovery_admission,sugar_box1
p_risk_threshold_shared,0.2499999999999999,no_recovery_admission,sugar_box1
prior_advantage_margin_cm,0.1,no_recovery_admission,sugar_box1
Shared error MAE_obs_cm,6.240320328693563,no_recovery_admission,tomato_soup_can_yalehand0
Shared error MedianAE_obs_cm,0.238234314748225,no_recovery_admission,tomato_soup_can_yalehand0
Shared error Spearman_obs,0.1076460636965138,no_recovery_admission,tomato_soup_can_yalehand0
AUROC_obs_abs_risk,0.4533329388542541,no_recovery_admission,tomato_soup_can_yalehand0
AUPRC_obs_abs_risk,0.2187304036879798,no_recovery_admission,tomato_soup_can_yalehand0
Brier_obs_abs_risk,0.2063423561911218,no_recovery_admission,tomato_soup_can_yalehand0
ECE_obs_abs_risk,0.1998794178388006,no_recovery_admission,tomato_soup_can_yalehand0
Shared error MAE_prior_cm,6.225656757149882,no_recovery_admission,tomato_soup_can_yalehand0
Shared error MedianAE_prior_cm,0.2296511948688486,no_recovery_admission,tomato_soup_can_yalehand0
Shared error Spearman_prior,0.1170930585291054,no_recovery_admission,tomato_soup_can_yalehand0
AUROC_prior_abs_risk,0.444414166023626,no_recovery_admission,tomato_soup_can_yalehand0
AUPRC_prior_abs_risk,0.1819798621656403,no_recovery_admission,tomato_soup_can_yalehand0
Brier_prior_abs_risk,0.2109236806407362,no_recovery_admission,tomato_soup_can_yalehand0
