episode,blackout_start_index,blackout_end_index,recovery_index,blackout_start_frame,blackout_end_frame,recovery_frame
cracker_box_reorient_black10,90,99,100,1579908950874079837,1579908951385852578,1579908951442253069
cracker_box_reorient_black10_2,250,259,260,1579908960378626443,1579908960902507280,1579908960965741309
cracker_box_reorient_black10_3,150,159,160,1579908954485103161,1579908954997836462,1579908955061541775
cracker_box_reorient_black10_4,180,189,190,1579908956293170522,1579908956805739104,1579908956858690945
cracker_box_reorient_black10_5,300,309,310,1579908963344336971,1579908963880120060,1579908963939619743
