episode,frame_id,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,observer_restart,motion_history_reset,error_b5_ours_cm,output_uncertain,output_quality_unverified
sugar_box1_black10,842,1,1,1,0.49782719049928587,,1,2468.1342151015997,1,1,0.49782719049928587,False,1
sugar_box1_black10,844,1,1,1,0.4701364674776328,,1,2459.085169248283,1,1,0.4701364674776328,False,1
sugar_box1_black10,845,1,1,1,0.4506352777653729,,1,2459.3870267271996,1,1,0.4506352777653729,False,1
sugar_box1_black10,846,1,1,1,0.4120781986906204,,1,2455.445517785847,1,1,0.4120781986906204,False,1
sugar_box1_black10,847,1,1,1,0.3870774568108642,,1,2449.748213402927,1,1,0.3870774568108642,False,1
sugar_box1_black10,848,1,1,1,0.4708837687419507,,1,2455.4880019277334,1,1,0.4708837687419507,False,1
sugar_box1_black10,849,1,1,1,0.5009415704887643,,1,2466.0940216854215,1,1,0.5009415704887643,False,1
sugar_box1_black10,850,1,1,1,0.6171714655681408,,1,2457.2875099256635,1,1,0.6171714655681408,False,1
sugar_box1_black10,851,1,1,1,0.6832782999575395,,1,2458.0579306930304,1,1,0.6832782999575395,False,1
sugar_box1_black10,852,1,1,1,0.8569328536124984,,1,2451.77377294749,1,1,0.8569328536124984,False,1
sugar_box1_black10,853,1,1,1,0.9754540360913684,,1,2461.0838936641812,1,1,0.9754540360913684,False,1
sugar_box1_black10,854,1,1,1,0.6007466230575265,,1,2468.3241434395313,1,1,0.6007466230575265,False,1
sugar_box1_black10,855,1,1,1,0.6676068673435783,,1,2463.5766353458166,1,1,0.6676068673435783,False,1
sugar_box1_black10,856,1,1,1,0.7710164668109003,,1,2467.334493994713,1,1,0.7710164668109003,False,1
sugar_box1_black10,857,1,1,1,0.4731983261814795,,1,2467.1045131981373,1,1,0.4731983261814795,False,1
sugar_box1_black10,858,1,1,1,0.6182595165028519,,1,2458.1584967672825,1,1,0.6182595165028519,False,1
sugar_box1_black10,859,1,1,1,0.6467751429458947,,1,2454.5030631124973,1,1,0.6467751429458947,False,1
sugar_box1_black10,860,1,1,1,1.9050140506794644,,1,2449.8063819482923,1,1,1.9050140506794644,False,1
sugar_box1_black10,861,1,1,1,0.6100331861707103,,1,2449.5095685124397,1,1,0.6100331861707103,False,1
sugar_box1_black10,862,1,1,1,1.8209319758298852,,1,2457.4702195823193,1,1,1.8209319758298852,False,1
sugar_box1_black10,863,1,1,1,1.7193745340054147,,1,2468.4578981250525,1,1,1.7193745340054147,False,1
sugar_box1_black10,864,1,1,1,2.411476018810741,,1,2462.485703639686,1,1,2.411476018810741,False,1
sugar_box1_black10,865,1,1,1,0.2578637867428572,,1,2457.837885245681,1,1,0.2578637867428572,False,1
sugar_box1_black10,866,1,1,1,0.464719197776493,,1,2467.0727336779237,1,1,0.464719197776493,False,1
sugar_box1_black10,867,1,1,1,0.2551394212317236,,1,2459.625863470137,1,1,0.2551394212317236,False,1
sugar_box1_black10,868,1,1,1,0.28430068087715027,,1,2456.0223426669836,1,1,0.28430068087715027,False,1
sugar_box1_black10,869,1,1,1,0.3613221522244485,,1,2451.7610669136047,1,1,0.3613221522244485,False,1
sugar_box1_black10,870,1,1,1,0.476256678229524,,1,2454.4418286532164,1,1,0.476256678229524,False,1
sugar_box1_black10,871,1,1,1,0.6331066543197584,,1,2466.7354924604297,1,1,0.6331066543197584,False,1
sugar_box1_black10,872,1,1,1,0.5800561177268303,,1,2476.3644859194756,1,1,0.5800561177268303,False,1
sugar_box1_black10,873,1,1,1,0.3602494590877955,,1,2469.9154794216156,1,1,0.3602494590877955,False,1
sugar_box1_black10,874,1,1,1,2.333089416689794,,1,2457.534705288708,1,1,2.333089416689794,False,1
sugar_box1_black10,875,1,1,1,0.4905885717588472,,1,2470.0150145217776,1,1,0.4905885717588472,False,1
sugar_box1_black10,876,1,1,1,0.45538939700808634,,1,2462.0756171643734,1,1,0.45538939700808634,False,1
sugar_box1_black10,877,1,1,1,0.5843129547254686,,1,2459.1812333092093,1,1,0.5843129547254686,False,1
sugar_box1_black10,878,1,1,1,0.6092575089491556,,1,2466.366528533399,1,1,0.6092575089491556,False,1
sugar_box1_black10,879,1,1,1,1.8238565305879417,,1,2461.0809180885553,1,1,1.8238565305879417,False,1
sugar_box1_black10,880,1,1,1,1.9110410099302935,,1,2462.4779084697366,1,1,1.9110410099302935,False,1
sugar_box1_black10,881,1,1,1,1.7323540767813443,,1,2463.409340940416,1,1,1.7323540767813443,False,1
sugar_box1_black10,882,1,1,1,1.6754750093617887,,1,2455.9083683416247,1,1,1.6754750093617887,False,1
sugar_box1_black10,883,1,1,1,0.6198766673360513,,1,2462.279454804957,1,1,0.6198766673360513,False,1
sugar_box1_black10,884,1,1,1,0.5459203514909389,,1,2455.8704802766442,1,1,0.5459203514909389,False,1
sugar_box1_black10,885,1,1,1,0.5739953412613648,,1,2458.7507816031575,1,1,0.5739953412613648,False,1
sugar_box1_black10,886,1,1,1,0.594572985654661,,1,2458.9232821017504,1,1,0.594572985654661,False,1
sugar_box1_black10,893,1,1,1,0.5862069737736345,,1,2473.8202495500445,1,1,0.5862069737736345,False,1
sugar_box1_black10,896,1,1,1,0.34765206944748533,,1,2470.285177230835,1,1,0.34765206944748533,False,1
sugar_box1_black10,897,1,1,1,0.4420788078569362,,1,2463.931728154421,1,1,0.4420788078569362,False,1
sugar_box1_black10,898,1,1,1,0.622635289394844,,1,2458.1002593040466,1,1,0.622635289394844,False,1
