Baseline / Method,ADD-S (sugar_box1_clean),Failure Rate (sugar_box1_clean),Legacy latency <0.5cm single-frame (sugar_box1_clean),False Triggers (sugar_box1_clean),ADD-S (sugar_box1_black10),Failure Rate (sugar_box1_black10),Legacy latency <0.5cm single-frame (sugar_box1_black10),False Triggers (sugar_box1_black10),ADD-S (sugar_box1_black10_2),Failure Rate (sugar_box1_black10_2),Legacy latency <0.5cm single-frame (sugar_box1_black10_2),False Triggers (sugar_box1_black10_2),ADD-S (sugar_box1_black10_3),Failure Rate (sugar_box1_black10_3),Legacy latency <0.5cm single-frame (sugar_box1_black10_3),False Triggers (sugar_box1_black10_3),ADD-S (sugar_box1_black10_4),Failure Rate (sugar_box1_black10_4),Legacy latency <0.5cm single-frame (sugar_box1_black10_4),False Triggers (sugar_box1_black10_4),ADD-S (sugar_box1_black10_5),Failure Rate (sugar_box1_black10_5),Legacy latency <0.5cm single-frame (sugar_box1_black10_5),False Triggers (sugar_box1_black10_5),ADD-S (sugar_box1_occ40),Failure Rate (sugar_box1_occ40),Legacy latency <0.5cm single-frame (sugar_box1_occ40),False Triggers (sugar_box1_occ40),ADD-S (sugar_box1_occ60),Failure Rate (sugar_box1_occ60),Legacy latency <0.5cm single-frame (sugar_box1_occ60),False Triggers (sugar_box1_occ60),ADD-S (sugar_box1_drop60),Failure Rate (sugar_box1_drop60),Legacy latency <0.5cm single-frame (sugar_box1_drop60),False Triggers (sugar_box1_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,90.990%,4.410%,N/A,N/A,10.059%,89.857%,N/A (Failed),N/A,86.288%,24.697%,588.0 frames,N/A,35.819%,63.175%,N/A (Failed),N/A,52.695%,45.535%,N/A (Failed),N/A,64.495%,33.407%,N/A (Failed),N/A,90.218%,4.410%,N/A,N/A,13.158%,88.203%,N/A,N/A,20.515%,77.619%,N/A,N/A,51.582%
B2: Fixed-Alpha (0.5) Interpolation,90.970%,4.410%,N/A,N/A,10.070%,89.857%,N/A (Failed),N/A,86.261%,23.815%,588.0 frames,N/A,35.804%,63.175%,N/A (Failed),N/A,52.690%,45.535%,N/A (Failed),N/A,64.463%,33.407%,N/A (Failed),N/A,90.194%,4.520%,N/A,N/A,13.143%,88.203%,N/A,N/A,20.532%,77.619%,N/A,N/A,51.570%
B3: Hard Depth Threshold,89.278%,6.395%,N/A,N/A,10.597%,88.975%,N/A (Failed),N/A,82.786%,28.004%,N/A (Failed),N/A,57.962%,56.340%,N/A (Failed),N/A,55.196%,42.448%,0.0 frames,N/A,65.039%,32.966%,N/A (Failed),N/A,83.499%,17.420%,N/A,N/A,13.339%,87.762%,N/A,N/A,6.429%,97.685%,N/A,N/A,51.569%
B4: Robust Huber Weighting,90.992%,4.410%,N/A,N/A,10.062%,89.857%,N/A (Failed),N/A,86.291%,24.697%,588.0 frames,N/A,35.819%,63.175%,N/A (Failed),N/A,52.696%,45.535%,N/A (Failed),N/A,64.488%,33.407%,N/A (Failed),N/A,90.206%,4.520%,N/A,N/A,13.128%,88.203%,N/A,N/A,20.482%,77.619%,N/A,N/A,51.574%
B5 slot: mode3_history_reset,94.028%,0.662%,N/A,N/A,94.185%,0.221%,0.0 frames,N/A,94.040%,0.551%,1.0 frames,N/A,94.055%,0.662%,0.0 frames,N/A,78.076%,30.209%,N/A (Failed),N/A,65.369%,33.186%,N/A (Failed),N/A,93.340%,0.221%,N/A,N/A,13.741%,87.211%,N/A,N/A,93.400%,0.662%,N/A,N/A,80.026%
B6: Obs/Prior/Policy-Output Hindsight Oracle (same rollout),94.363%,0.221%,N/A,N/A,94.462%,0.000%,0.0 frames,N/A,94.330%,0.331%,1.0 frames,N/A,94.391%,0.221%,0.0 frames,N/A,78.139%,30.209%,N/A (Failed),N/A,65.445%,33.186%,N/A (Failed),N/A,93.661%,0.000%,N/A,N/A,13.856%,87.100%,N/A,N/A,94.147%,0.000%,N/A,N/A,80.310%
