episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,both_candidates_bad,local_candidate_oracle_cm,is_blackout,recovery_attempted,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
sugar_box1_black10_4,0,0.32633455119805826,0.32633455119805826,0.0621261311535123,0.0621261311535123,0.003024178911004094,0.003024178911004094,0.005235602094240838,0.005235602094240838,0.0,0.0,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.32633455119805826,0,0,0,14.167020097374916,4.9879662692546844,19.1549863666296,0.32633455119805826,0.32633455119805904,0.32633455119805826,0.32633455119806415,0.32633455119805826,0.32633455119805826
sugar_box1_black10_4,1,0.35905561317200185,0.35905561317200185,0.9937126982921419,0.9937126982921419,0.04837199629164696,0.04837199629164696,0.03403565640194489,0.03403565640194489,0.0,0.0,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.35905561317200185,0,0,0,11.909049935638905,0.6923670880496502,12.601417023688555,0.35905561317200185,0.3590556131720077,0.35905561317200185,0.3590556131720064,0.35905561317200185,0.35905561317200185
sugar_box1_black10_4,2,0.3679669866485411,0.40334278863398637,0.8113514961487115,0.921497649691679,0.039495008597937364,0.04485670855394741,0.03403565640194489,0.03403565640194489,0.035375801985445265,0.11014615354296753,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3679669866485411,0,0,0,10.240734089165926,0.6245407275855541,10.86527481675148,0.3679669866485411,0.3855141394408008,0.3679669866485411,0.3679669538574733,0.3679669866485411,0.3679669866485411
sugar_box1_black10_4,3,0.3949600956522966,0.3864236761106966,1.1375566930362773,1.2593217534569563,0.05537404144242092,0.06130132712694947,0.03403565640194489,0.03403565640194489,-0.008536419541600004,0.12176506042067903,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3864236761106966,0,0,0,11.521457694470882,0.6796121597290039,12.201069854199886,0.3949600956522966,0.40839890699374715,0.3949600956522966,0.3949601749951336,0.3949600956522966,0.3864236761106966
sugar_box1_black10_4,4,0.3618032443088606,0.419407651167468,0.7412680943201598,0.6961264222156318,0.03608348526812272,0.033886076701852175,0.03403565640194489,0.03403565640194489,0.05760440685860735,-0.04514167210452802,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3618032443088606,0,0,0,10.596226900815964,0.6397799588739872,11.236006859689951,0.3618032443088606,0.393210511399381,0.3618032443088606,0.36180318210457646,0.3618032443088606,0.3618032443088606
sugar_box1_black10_4,5,0.3573138051067453,0.31667106809104156,0.8811443411098804,1.389600213729602,0.04289238818606922,0.06764302851410153,0.03403565640194489,0.03403565640194489,-0.040642737015703756,0.5084558726197216,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.31667106809104156,0,0,0,10.785586200654507,0.7080473005771637,11.49363350123167,0.3573138051067453,0.36198702958468115,0.3573138051067453,0.3573137118189683,0.3573138051067453,0.33852490373745747
sugar_box1_black10_4,6,0.3763748895877549,0.37297393889485286,1.2099417483887942,0.840323256839802,0.05889760477727651,0.04090529740990534,0.03403565640194489,0.03403565640194489,-0.0034009506929020272,-0.3696184915489922,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.37297393889485286,0,0,0,10.990890208631754,0.6631477735936642,11.654037982225418,0.3763748895877549,0.3643076595622984,0.3763748895877549,0.37637482709151193,0.3763748895877549,0.36277163494954884
sugar_box1_black10_4,7,0.35959421188849805,0.379250945250304,1.2248602961828083,0.8625636039515981,0.05962381059089755,0.04198791413591246,0.03403565640194489,0.03403565640194489,0.019656733361805956,-0.3622966922312102,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.35959421188849805,0,0,0,10.65040286630392,1.1732708662748337,11.823673732578754,0.35959421188849805,0.35465671311693414,0.35959421188849805,0.35959407785703595,0.35959421188849805,0.35959421188849805
sugar_box1_black10_4,8,0.3344500869603026,0.3419204124725044,1.0353429944108585,0.8136798017662527,0.05039847792254054,0.039608345974918746,0.03403565640194489,0.03403565640194489,0.007470325512201781,-0.22166319264460588,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3344500869603026,0,0,0,12.46919995173812,0.7849656976759434,13.254165649414062,0.3344500869603026,0.3387200185747645,0.3344500869603026,0.33445019077178706,0.3344500869603026,0.3344500869603026
sugar_box1_black10_4,9,0.3465803686864316,0.3304845188941883,0.9977750338763934,1.048395897668493,0.04856974286583743,0.051033867798365495,0.03403565640194489,0.03403565640194489,-0.016095849792243322,0.050620863792099624,MODE_1_ACCEPT,no_recovery_admission,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3304845188941883,0,0,0,11.030418798327446,0.6210720166563988,11.651490814983845,0.3465803686864316,0.33944471924086206,0.3465803686864316,0.3465805493054212,0.3465803686864316,0.3304845188941883
