Baseline / Method,ADD-S (cracker_box_yalehand0_clean),Failure Rate (cracker_box_yalehand0_clean),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_clean),False Triggers (cracker_box_yalehand0_clean),ADD-S (cracker_box_yalehand0_black10),Failure Rate (cracker_box_yalehand0_black10),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10),False Triggers (cracker_box_yalehand0_black10),ADD-S (cracker_box_yalehand0_black10_2),Failure Rate (cracker_box_yalehand0_black10_2),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_2),False Triggers (cracker_box_yalehand0_black10_2),ADD-S (cracker_box_yalehand0_black10_3),Failure Rate (cracker_box_yalehand0_black10_3),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_3),False Triggers (cracker_box_yalehand0_black10_3),ADD-S (cracker_box_yalehand0_black10_4),Failure Rate (cracker_box_yalehand0_black10_4),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_4),False Triggers (cracker_box_yalehand0_black10_4),ADD-S (cracker_box_yalehand0_black10_5),Failure Rate (cracker_box_yalehand0_black10_5),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_5),False Triggers (cracker_box_yalehand0_black10_5),ADD-S (cracker_box_yalehand0_occ40),Failure Rate (cracker_box_yalehand0_occ40),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_occ40),False Triggers (cracker_box_yalehand0_occ40),ADD-S (cracker_box_yalehand0_occ60),Failure Rate (cracker_box_yalehand0_occ60),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_occ60),False Triggers (cracker_box_yalehand0_occ60),ADD-S (cracker_box_yalehand0_drop60),Failure Rate (cracker_box_yalehand0_drop60),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_drop60),False Triggers (cracker_box_yalehand0_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,0.390%,99.849%,N/A,N/A,0.404%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.388%,99.849%,N/A (Failed),N/A,0.395%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.392%
B2: Fixed-Alpha (0.5) Interpolation,0.387%,99.849%,N/A,N/A,0.401%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.386%,99.849%,N/A (Failed),N/A,0.386%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A,N/A,0.386%,99.849%,N/A,N/A,0.388%,99.849%,N/A,N/A,0.389%
B3: Hard Depth Threshold,0.358%,99.849%,N/A,N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A,N/A,0.358%,99.849%,N/A,N/A,0.364%,99.849%,N/A,N/A,0.359%
B4: Robust Huber Weighting,0.389%,99.849%,N/A,N/A,0.403%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.388%,99.849%,N/A (Failed),N/A,0.394%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.392%
B5 slot: no_recovery_admission,92.643%,2.261%,N/A,N/A,92.487%,2.261%,0.0 frames,N/A,92.534%,2.261%,0.0 frames,N/A,92.069%,3.617%,1.0 frames,N/A,92.563%,2.336%,5.0 frames,N/A,92.404%,2.261%,0.0 frames,N/A,92.416%,2.336%,N/A,N/A,90.369%,5.576%,N/A,N/A,92.724%,2.336%,N/A,N/A,92.246%
"B6: Recursive Obs/Prior Oracle (diagnostic, not a global upper bound)",0.394%,99.849%,N/A,N/A,0.413%,99.849%,N/A (Failed),N/A,0.624%,99.849%,N/A (Failed),N/A,2.181%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A (Failed),N/A,0.399%,99.849%,N/A (Failed),N/A,0.433%,99.849%,N/A,N/A,2.448%,99.849%,N/A,N/A,0.390%,99.849%,N/A,N/A,0.853%
