model,candidate_population,partition,sequence,candidates,mae_cm,risk_auroc,balanced_accuracy,evidence
q0_policy_obs_prior_refit,q0_policy,cal,ALL,13698,16.927580114793496,0.9017625428677971,0.865732645996378,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,q1_policy,all,ALL,45540,3.754654979217124,0.7430146866499268,0.7092119307748268,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,q1_policy,train,ALL,31842,3.404947450298587,0.6679364282600699,0.6694733998089529,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q0,q1_policy,cal,ALL,13698,4.5675756344824245,0.8860109908174767,0.8182507030595084,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,q1_policy,all,ALL,45540,1.4764634574363287,0.822113324031214,0.685006110627101,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,q1_policy,train,ALL,31842,1.525847110105119,0.8481637423799384,0.6669141730309038,post_development_diagnostic; calibration partition used for fitting calibrator
frozen_q1,q1_policy,cal,ALL,13698,1.3616675552404156,0.7903022947882781,0.7369427460992126,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_only,q1_policy,all,ALL,45540,3.754654979217124,0.7430146866499268,0.7092119307748268,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_only,q1_policy,train,ALL,31842,3.404947450298587,0.6679364282600699,0.6694733998089529,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_only,q1_policy,cal,ALL,13698,4.5675756344824245,0.8860109908174767,0.8182507030595084,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_duplicated_count_control,q1_policy,all,ALL,45540,3.75465500132373,0.7430146866499268,0.7092119307748268,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_duplicated_count_control,q1_policy,train,ALL,31842,3.404947468400591,0.6679364282600699,0.6694733998089529,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_duplicated_count_control,q1_policy,cal,ALL,13698,4.567575665898017,0.8860109908174767,0.8182507030595084,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_prior,q1_policy,all,ALL,45540,3.619167941898819,0.730927537204811,0.6970656156314718,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_prior,q1_policy,train,ALL,31842,3.298804443352609,0.6528824096125689,0.6596149067953846,post_development_diagnostic; calibration partition used for fitting calibrator
fixed_obs_prior,q1_policy,cal,ALL,13698,4.363876258493097,0.8811123044657747,0.7998855965456212,post_development_diagnostic; calibration partition used for fitting calibrator
q0_policy_obs_prior_refit,q1_policy,all,ALL,45540,1.4751664276626173,0.8246723375596212,0.6881654221741146,post_development_diagnostic; calibration partition used for fitting calibrator
q0_policy_obs_prior_refit,q1_policy,train,ALL,31842,1.5251921291320398,0.8505164167005282,0.6713606244072636,post_development_diagnostic; calibration partition used for fitting calibrator
q0_policy_obs_prior_refit,q1_policy,cal,ALL,13698,1.3588780362047868,0.7940429945891142,0.7366106462794952,post_development_diagnostic; calibration partition used for fitting calibrator
