episode,blackout_start_index,blackout_end_index,recovery_index,blackout_start_frame,blackout_end_frame,recovery_frame
sugar_box_yalehand0_black10,90,99,100,90,99,100
sugar_box_yalehand0_black10_2,250,259,260,250,259,260
sugar_box_yalehand0_black10_3,330,339,340,330,339,340
sugar_box_yalehand0_black10_4,490,499,500,490,499,500
sugar_box_yalehand0_black10_5,600,609,610,600,609,610
