model,population,n,mae_cm,risk_auroc,observation_mae_cm,prior_mae_cm
frozen_shared_q1,q0_policy,45540,6.310068086309206,0.8901809571656306,0.8854871508551622,11.73464902176325
source_specific_q0_policy_fit,q0_policy,45540,6.299438834469695,0.8850398640921823,0.8715698860777046,11.727307782861686
frozen_shared_q1,q1_policy,45540,1.4764634574363287,0.822113324031214,1.4777061981365303,1.475220716736127
source_specific_q0_policy_fit,q1_policy,45540,1.4793965724856053,0.8287142481359907,1.468496053533087,1.490297091438123
