sequence,sequence_index,frame_id,hypothesis,D_obj_cm,target_E_cm,target_e_norm,x1_norm,x2_inlier_error,x4_support_ratio,x5_geometry_inconsistency
mustard_easy_00_02_drop60,0,0,obs,22.44201091725071,0.40383136921665463,0.017994437784817126,2.2053232425192273,0.36926360725720386,0.6425028628672154,0.751694393099199
mustard_easy_00_02_drop60,0,0,prior,22.44201091725071,0.40383136921665463,0.017994437784817126,2.2053232425192273,0.36926360725720386,0.6425028628672154,0.751694393099199
mustard_easy_00_02_drop60,1,1,obs,22.44201091725071,1.1401922462310377,0.05080615326475024,2.0333554801037788,0.38759065269943593,0.5265165985253086,0.6787247087676272
mustard_easy_00_02_drop60,1,1,prior,22.44201091725071,1.1401922462310377,0.05080615326475024,2.0333554801037788,0.38759065269943593,0.5265165985253086,0.6787247087676272
mustard_easy_00_02_drop60,2,2,obs,22.44201091725071,1.130140523174418,0.05035825565460813,2.082394233549795,0.44859813084112155,0.5917588722176312,0.7321537522879804
mustard_easy_00_02_drop60,2,2,prior,22.44201091725071,1.8675992635731387,0.08321889114391054,2.090692188325702,0.7255813953488373,0.5898512033962182,0.8715486194477791
mustard_easy_00_02_drop60,3,3,obs,22.44201091725071,0.8868814978699321,0.03951880698837931,1.940812421940113,0.4590616375344986,0.5852727982248271,0.7391569945021381
mustard_easy_00_02_drop60,3,3,prior,22.44201091725071,1.2808060942011266,0.057071806039297374,1.7458375752989848,0.7076612903225806,0.4322777587475095,0.8128109452736318
mustard_easy_00_02_drop60,4,4,obs,22.44201091725071,1.0264394043423208,0.045737407762925474,2.233049136158329,0.35048231511254024,0.6440289979243456,0.7267726161369192
mustard_easy_00_02_drop60,4,4,prior,22.44201091725071,0.8356879016080753,0.03723765685211833,2.1854497696440425,0.5744075829383886,0.5974818786818701,0.797930614729154
mustard_easy_00_02_drop60,5,5,obs,22.44201091725071,1.4422313340037545,0.06426479959044762,2.0063636884075318,0.4665032679738562,0.5330026725181127,0.7161736941472625
mustard_easy_00_02_drop60,5,5,prior,22.44201091725071,1.2311166497689654,0.054857679835750885,2.1894627628804977,0.42110177404295046,0.5913773384533486,0.7454655380894801
mustard_easy_00_02_drop60,6,6,obs,22.44201091725071,1.6838406143118638,0.0750307367962971,1.9947104840498295,0.5462686567164179,0.4887447558613325,0.7579617834394905
mustard_easy_00_02_drop60,6,6,prior,22.44201091725071,1.8320432515577885,0.08163454060837011,1.7494962660782154,0.544987146529563,0.40633346277629356,0.7092568448500651
mustard_easy_00_02_drop60,7,7,obs,22.44201091725071,1.8824673030805767,0.08388140037992599,1.7245447678425359,0.6486486486486487,0.44944677814022604,0.7930582842174198
mustard_easy_00_02_drop60,7,7,prior,22.44201091725071,1.9304911354782517,0.08602130809919191,1.6218708903922396,0.5713346482577252,0.41968714452618416,0.7435043304463691
mustard_easy_00_02_drop60,8,8,obs,22.44201091725071,2.0744927571693035,0.09243791765445956,1.8935563357301464,0.672514619883041,0.47806181046142004,0.8041666666666667
mustard_easy_00_02_drop60,8,8,prior,22.44201091725071,2.1167962435838446,0.09432293083667949,2.1571277501689288,0.7251223491027732,0.5322396049895475,0.8677248677248677
mustard_easy_00_02_drop60,9,9,obs,22.44201091725071,2.0980820060537395,0.09348903776002476,2.020621573573329,0.7617135207496654,0.429988556161814,0.8393782383419689
