sequence,sequence_index,frame_id,hypothesis,D_obj_cm,target_E_cm,target_e_norm,x1_norm,x2_inlier_error,x4_support_ratio,x5_geometry_inconsistency
bleach_hard_00_03_chaitanya_drop60,0,0,obs,27.88158256699214,0.6018073922945021,0.02158440579362798,1.343564432459719,0.4728,0.5230827946467654,0.7311598075895243
bleach_hard_00_03_chaitanya_drop60,0,0,prior,27.88158256699214,0.6018073922945021,0.02158440579362798,1.343564432459719,0.4728,0.5230827946467654,0.7311598075895243
bleach_hard_00_03_chaitanya_drop60,1,1,obs,27.88158256699214,1.0693443831526288,0.03835307341623361,1.237288948317755,0.4898813677599442,0.45326211578305187,0.7024880889359449
bleach_hard_00_03_chaitanya_drop60,1,1,prior,27.88158256699214,1.0693443831526288,0.03835307341623361,1.237288948317755,0.4898813677599442,0.45326211578305187,0.7024880889359449
bleach_hard_00_03_chaitanya_drop60,2,4,obs,27.88158256699214,1.3410136730794118,0.04809675598066599,1.1673653168601872,0.5806654111738858,0.3922167134978378,0.7254797441364605
bleach_hard_00_03_chaitanya_drop60,2,4,prior,27.88158256699214,1.639509914551324,0.05880261318065469,1.2459517608109387,0.7087248322147651,0.43151469121894437,0.8201400107700593
bleach_hard_00_03_chaitanya_drop60,3,5,obs,27.88158256699214,1.5258073571327697,0.05472456068326302,0.9295990386525493,0.5959302325581395,0.34376192543394923,0.7231096911608094
bleach_hard_00_03_chaitanya_drop60,3,5,prior,27.88158256699214,1.8768991046764625,0.06731680671879961,0.853947016213,0.6768325307651151,0.28691339455584364,0.7674907943187796
bleach_hard_00_03_chaitanya_drop60,4,6,obs,27.88158256699214,1.9133597993640419,0.06862450489554311,0.8262348880151427,0.675226586102719,0.24227394413478087,0.7286780383795309
bleach_hard_00_03_chaitanya_drop60,4,6,prior,27.88158256699214,1.7518648896833824,0.06283233333237487,0.9378227514638035,0.5933719095213046,0.2747043140988008,0.6919328641039524
bleach_hard_00_03_chaitanya_drop60,5,7,obs,27.88158256699214,2.818162834217262,0.10107614327292774,0.6639379056389095,0.7488500459981601,0.1705455964496544,0.7552334943639292
bleach_hard_00_03_chaitanya_drop60,5,7,prior,27.88158256699214,2.3741565147368133,0.08515142600074214,0.9209457392732145,0.7084412221646815,0.26325830117032323,0.7531064289573204
bleach_hard_00_03_chaitanya_drop60,6,8,obs,27.88158256699214,4.345476132677611,0.15585471600245682,0.5649157432511404,0.7769063180827886,0.12438001097146134,0.7700709994538504
bleach_hard_00_03_chaitanya_drop60,6,8,prior,27.88158256699214,4.3223149705759365,0.15502401846059297,0.5702144942205815,0.8023255813953488,0.11407859933583142,0.7909725953788286
bleach_hard_00_03_chaitanya_drop60,7,9,obs,27.88158256699214,5.364145296298907,0.19239027352232502,0.3660257133433165,0.7562086092715232,0.07821442549326818,0.7370430987452263
bleach_hard_00_03_chaitanya_drop60,7,9,prior,27.88158256699214,6.1518301476403785,0.22064135465980605,0.3331257047079271,0.7953336062218583,0.06791301385763837,0.7745202558635395
bleach_hard_00_03_chaitanya_drop60,8,10,obs,27.88158256699214,5.513430259802283,0.19774452352390523,0.21384225323889708,0.7476935419173687,0.04883632564350893,0.7148148148148148
bleach_hard_00_03_chaitanya_drop60,8,10,prior,27.88158256699214,6.481572947161439,0.2324678999690178,0.1475443473803798,0.7636363636363637,0.034719576365053184,0.7244953627932351
bleach_hard_00_03_chaitanya_drop60,9,11,obs,27.88158256699214,5.5689905545075975,0.19973724737922505,0.16023847547823303,0.7046818727490997,0.04654712305781339,0.6718167288225892
bleach_hard_00_03_chaitanya_drop60,9,11,prior,27.88158256699214,5.659305938626173,0.20297649622392644,0.16177185047509857,0.7419743178170144,0.04921785940779155,0.7056345444971037
bleach_hard_00_03_chaitanya_drop60,10,12,obs,27.88158256699214,5.469407709814488,0.19616561207287764,0.062121535309322864,0.6674418604651162,0.01564288815092385,0.6225026288117771
bleach_hard_00_03_chaitanya_drop60,10,12,prior,27.88158256699214,5.691244006496729,0.20412198600356202,0.054194746555746666,0.6559263521288838,0.00534147651529393,0.6088328075709779
bleach_hard_00_03_chaitanya_drop60,11,13,obs,27.88158256699214,5.7393712963160946,0.20584811792967234,0.2007012760124393,0.659847573204974,0.04883632564350893,0.629454926624738
