sequence,sequence_index,frame_id,hypothesis,D_obj_cm,target_E_cm,target_e_norm,x1_norm,x2_inlier_error,x4_support_ratio,x5_geometry_inconsistency
mustard0_clean,0,0,obs,22.44201091725071,0.19991426248945213,0.008908036950279806,0.897311144020051,0.3660313901345291,0.31934376451986357,0.5237808549066827
mustard0_clean,0,0,prior,22.44201091725071,0.19991426248945213,0.008908036950279806,0.897311144020051,0.3660313901345291,0.31934376451986357,0.5237808549066827
mustard0_clean,1,1,obs,22.44201091725071,0.21956809235132166,0.00978379759108593,0.9114513046250051,0.38146067415730334,0.32086989957699397,0.5301278149726111
mustard0_clean,1,1,prior,22.44201091725071,0.21956809235132166,0.00978379759108593,0.9114513046250051,0.38146067415730334,0.32086989957699397,0.5301278149726111
mustard0_clean,2,2,obs,22.44201091725071,0.18649018085341756,0.00830986944712991,0.9118631081931658,0.3850056369785795,0.3231591021626895,0.5452337583485125
mustard0_clean,2,2,prior,22.44201091725071,0.254667728512697,0.011347812344077383,0.9098145813171754,0.39279684862127184,0.32201450086984174,0.5326817348808797
mustard0_clean,3,3,obs,22.44201091725071,0.2162716817133884,0.00963691188418168,0.8918519912036961,0.38129496402877694,0.31056848794136405,0.5253012048192771
mustard0_clean,3,3,prior,22.44201091725071,0.18088304665788937,0.008060019546592785,0.8990009861370598,0.3774944567627494,0.3117130892342118,0.517490952955368
mustard0_clean,4,4,obs,22.44201091725071,0.23136618866139272,0.0103095123478238,0.9215566268832295,0.37387387387387383,0.32239603463412425,0.5323653962492438
mustard0_clean,4,4,prior,22.44201091725071,0.261120108313006,0.011635325785903098,0.8913974269941463,0.3817980022197558,0.31247615676277707,0.5246305418719213
mustard0_clean,5,8,obs,22.44201091725071,0.19137792217118885,0.008527663714131812,0.9100598574185597,0.37952488687782804,0.32544830474838504,0.5363636363636364
mustard0_clean,5,8,prior,22.44201091725071,0.24162225342475022,0.010766515278674078,0.9377626443756688,0.377545084351367,0.34414345919823175,0.5381818181818182
mustard0_clean,6,10,obs,22.44201091725071,0.21529953063462648,0.009593593525486176,0.8841794440073613,0.3998908892525914,0.30064861007001675,0.5309681298857487
mustard0_clean,6,10,prior,22.44201091725071,0.22058389515944898,0.009829061039707931,0.8777365972435216,0.3954372623574145,0.2975963399557561,0.5251225490196079
