sequence,sequence_index,frame_id,hypothesis,D_obj_cm,target_E_cm,target_e_norm,x1_norm,x2_inlier_error,x4_support_ratio,x5_geometry_inconsistency
bleach0_black10,0,0,obs,27.88158256699214,0.3621724874497677,0.012989667519035625,0.1268643877619577,0.38848920863309355,0.0984357150002454,0.3889193636862315
bleach0_black10,0,0,prior,27.88158256699214,0.3621724874497677,0.012989667519035625,0.1268643877619577,0.38848920863309355,0.0984357150002454,0.3889193636862315
bleach0_black10,1,1,obs,27.88158256699214,0.3468829702898931,0.012441294157403878,0.13655058149411822,0.3909551986475064,0.09729111370739763,0.39506849315068493
bleach0_black10,1,1,prior,27.88158256699214,0.3468829702898931,0.012441294157403878,0.13655058149411822,0.3909551986475064,0.09729111370739763,0.39506849315068493
bleach0_black10,2,2,obs,27.88158256699214,0.32886955262771705,0.011795225462454638,0.19388732116247342,0.3916990920881972,0.11751240321437473,0.40795206971677556
bleach0_black10,2,2,prior,27.88158256699214,0.36567822319410914,0.013115404131579696,0.1959299684170202,0.3888412017167382,0.11102632922157074,0.4055944055944056
bleach0_black10,3,3,obs,27.88158256699214,0.44385102144256533,0.01591914735743954,0.3545859801620376,0.3799719232569022,0.18466234572811013,0.44013121924548937
bleach0_black10,3,3,prior,27.88158256699214,0.3346912935003968,0.012004027845127559,0.34664049920863726,0.3839368616527391,0.17817627173530615,0.4399563318777293
bleach0_black10,4,4,obs,27.88158256699214,0.4510418420359655,0.016177053112111914,0.39762421577079526,0.38179218303145857,0.19954216253513102,0.44352159468438535
bleach0_black10,4,4,prior,27.88158256699214,0.535516316633801,0.019206812071986785,0.41054927737955627,0.3861671469740634,0.2056467027636525,0.4545454545454546
bleach0_black10,5,5,obs,27.88158256699214,0.5296340195715454,0.018995837782843698,0.4448637203664687,0.3780607247796278,0.220908053334956,0.46013289036544847
bleach0_black10,5,5,prior,27.88158256699214,0.4844707910131094,0.01737601478858142,0.4692739429473608,0.3853346456692913,0.22472339097778182,0.46597145993413835
bleach0_black10,6,6,obs,27.88158256699214,0.4734764582387443,0.016981692380663986,0.40207990710871233,0.38019323671497585,0.21022510793504356,0.4503858875413451
bleach0_black10,6,6,prior,27.88158256699214,0.617120864767436,0.022133638335795902,0.3831608088304048,0.37488061127029604,0.2010682975922614,0.4582875960482986
bleach0_black10,7,7,obs,27.88158256699214,0.37494816201501335,0.01344787947793534,0.2906332439229117,0.3965750337990086,0.15337657705693797,0.4373965802537231
