sequence,sequence_index,frame_id,hypothesis,D_obj_cm,target_E_cm,target_e_norm,x1_norm,x2_inlier_error,x4_support_ratio,x5_geometry_inconsistency
mustard_easy_00_02_black10_4,0,0,obs,22.44201091725071,0.3583933476715941,0.015969751952847708,0.6160130533790559,0.3435270132517839,0.251430754477563,0.4467036352433764
mustard_easy_00_02_black10_4,0,0,prior,22.44201091725071,0.3583933476715941,0.015969751952847708,0.6160130533790559,0.3435270132517839,0.251430754477563,0.4467036352433764
mustard_easy_00_02_black10_4,1,1,obs,22.44201091725071,0.39884855633145505,0.01777240719657918,0.6313139263630839,0.3360697793740379,0.2563906934132366,0.44171779141104295
mustard_easy_00_02_black10_4,1,1,prior,22.44201091725071,0.39884855633145505,0.01777240719657918,0.6313139263630839,0.3360697793740379,0.2563906934132366,0.44171779141104295
mustard_easy_00_02_black10_4,2,2,obs,22.44201091725071,0.43808050348388944,0.019520554780015104,0.6162225406827557,0.33350100603621735,0.24151087660621573,0.43243243243243246
mustard_easy_00_02_black10_4,2,2,prior,22.44201091725071,0.43822232043109893,0.01952687404203366,0.6610386143930824,0.3348765432098766,0.2582983622346495,0.4447144592952612
mustard_easy_00_02_black10_4,3,3,obs,22.44201091725071,0.493239987961895,0.021978422066569428,0.5821405831343105,0.3371287128712871,0.2293017961491729,0.4354243542435424
mustard_easy_00_02_black10_4,3,3,prior,22.44201091725071,0.47612972961587946,0.021216001158340422,0.5895041780567576,0.33349900596421467,0.23235406626343358,0.42978208232445525
mustard_easy_00_02_black10_4,4,4,obs,22.44201091725071,0.4730381901022075,0.02107824436261159,0.5798102609756252,0.3358134920634921,0.2308279312063033,0.42673206621704474
mustard_easy_00_02_black10_4,4,4,prior,22.44201091725071,0.5528468505551845,0.02463446134990615,0.5420842203204734,0.3346209560598744,0.20984357417076094,0.4132434089515634
mustard_easy_00_02_black10_4,5,5,obs,22.44201091725071,0.4274912221404963,0.019048703956020832,0.6281928643312569,0.3348670756646217,0.25371995706325856,0.4321669736034377
