Baseline / Method,ADD-S (bleach0_black10),Failure Rate (bleach0_black10),Latency (bleach0_black10),False Triggers (bleach0_black10),ADD-S (bleach0_black10_2),Failure Rate (bleach0_black10_2),Latency (bleach0_black10_2),False Triggers (bleach0_black10_2),ADD-S (bleach0_black10_3),Failure Rate (bleach0_black10_3),Latency (bleach0_black10_3),False Triggers (bleach0_black10_3),ADD-S (bleach0_black10_4),Failure Rate (bleach0_black10_4),Latency (bleach0_black10_4),False Triggers (bleach0_black10_4),ADD-S (bleach0_black10_5),Failure Rate (bleach0_black10_5),Latency (bleach0_black10_5),False Triggers (bleach0_black10_5),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,22.694%,76.923%,N/A (Failed),N/A,44.015%,53.544%,N/A (Failed),N/A,94.475%,2.262%,17.0 frames,N/A,39.715%,72.549%,N/A (Failed),N/A,94.907%,0.452%,2.0 frames,N/A,59.161%
B2: Fixed-Alpha (0.5) Interpolation,22.709%,76.923%,N/A (Failed),N/A,44.016%,53.544%,N/A (Failed),N/A,94.347%,2.112%,18.0 frames,N/A,39.716%,72.700%,N/A (Failed),N/A,94.762%,0.452%,3.0 frames,N/A,59.110%
B3: Hard Depth Threshold,23.003%,76.320%,N/A (Failed),N/A,26.391%,76.471%,N/A (Failed),N/A,37.419%,73.002%,17.0 frames,N/A,27.160%,76.471%,N/A (Failed),N/A,35.490%,69.683%,113.0 frames,N/A,29.893%
B4: Robust Huber Weighting,22.700%,76.923%,N/A (Failed),N/A,44.012%,53.544%,N/A (Failed),N/A,94.466%,2.262%,17.0 frames,N/A,39.719%,72.549%,N/A (Failed),N/A,94.897%,0.452%,4.0 frames,N/A,59.159%
B5: Proposed Shared Pose-Quality Policy,23.124%,76.169%,N/A (Failed),0 times,44.584%,53.394%,N/A (Failed),0 times,94.452%,2.413%,0.0 frames,0 times,39.769%,72.247%,0.0 frames,0 times,94.846%,0.603%,0.0 frames,0 times,59.355%
B6: Oracle Decision Policy (Upper Bound),24.103%,76.320%,N/A (Failed),0 times,45.655%,53.394%,N/A (Failed),0 times,95.028%,1.810%,17.0 frames,0 times,40.614%,72.549%,N/A (Failed),0 times,95.402%,0.000%,2.0 frames,0 times,60.160%
