episode,blackout_start_index,blackout_end_index,recovery_index,blackout_start_frame,blackout_end_frame,recovery_frame
bleach0_black10,150,159,160,150,159,160
bleach0_black10_2,305,314,315,305,314,315
bleach0_black10_3,450,459,460,450,459,460
bleach0_black10_4,175,184,185,175,184,185
bleach0_black10_5,350,359,360,350,359,360
