Baseline / Method,ADD-S (cracker_box_reorient_clean),Failure Rate (cracker_box_reorient_clean),Legacy latency <0.5cm single-frame (cracker_box_reorient_clean),False Triggers (cracker_box_reorient_clean),ADD-S (cracker_box_reorient_black10),Failure Rate (cracker_box_reorient_black10),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10),False Triggers (cracker_box_reorient_black10),ADD-S (cracker_box_reorient_black10_2),Failure Rate (cracker_box_reorient_black10_2),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_2),False Triggers (cracker_box_reorient_black10_2),ADD-S (cracker_box_reorient_black10_3),Failure Rate (cracker_box_reorient_black10_3),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_3),False Triggers (cracker_box_reorient_black10_3),ADD-S (cracker_box_reorient_black10_4),Failure Rate (cracker_box_reorient_black10_4),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_4),False Triggers (cracker_box_reorient_black10_4),ADD-S (cracker_box_reorient_black10_5),Failure Rate (cracker_box_reorient_black10_5),Legacy latency <0.5cm single-frame (cracker_box_reorient_black10_5),False Triggers (cracker_box_reorient_black10_5),ADD-S (cracker_box_reorient_occ40),Failure Rate (cracker_box_reorient_occ40),Legacy latency <0.5cm single-frame (cracker_box_reorient_occ40),False Triggers (cracker_box_reorient_occ40),ADD-S (cracker_box_reorient_occ60),Failure Rate (cracker_box_reorient_occ60),Legacy latency <0.5cm single-frame (cracker_box_reorient_occ60),False Triggers (cracker_box_reorient_occ60),ADD-S (cracker_box_reorient_drop60),Failure Rate (cracker_box_reorient_drop60),Legacy latency <0.5cm single-frame (cracker_box_reorient_drop60),False Triggers (cracker_box_reorient_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,53.831%,44.267%,N/A,N/A,53.439%,45.600%,2.0 frames,N/A,53.825%,44.267%,N/A (Failed),N/A,53.439%,45.600%,2.0 frames,N/A,46.858%,51.467%,N/A (Failed),N/A,53.830%,44.267%,N/A (Failed),N/A,54.006%,44.267%,N/A,N/A,50.010%,51.200%,N/A,N/A,13.055%,90.667%,N/A,N/A,48.032%
B2: Fixed-Alpha (0.5) Interpolation,53.812%,44.267%,N/A,N/A,53.359%,45.600%,8.0 frames,N/A,53.805%,44.267%,N/A (Failed),N/A,53.363%,45.600%,7.0 frames,N/A,46.864%,51.467%,N/A (Failed),N/A,53.810%,44.267%,N/A (Failed),N/A,53.981%,44.267%,N/A,N/A,50.001%,51.200%,N/A,N/A,13.069%,90.667%,N/A,N/A,48.007%
B3: Hard Depth Threshold,53.835%,44.267%,N/A,N/A,53.735%,44.533%,2.0 frames,N/A,53.854%,44.267%,N/A (Failed),N/A,53.747%,44.533%,2.0 frames,N/A,47.451%,51.200%,N/A (Failed),N/A,53.885%,44.267%,N/A (Failed),N/A,45.006%,56.800%,N/A,N/A,44.946%,56.800%,N/A,N/A,5.203%,97.333%,N/A,N/A,45.740%
B4: Robust Huber Weighting,53.832%,44.267%,N/A,N/A,53.408%,45.600%,6.0 frames,N/A,53.827%,44.267%,N/A (Failed),N/A,53.406%,45.600%,3.0 frames,N/A,46.858%,51.467%,N/A (Failed),N/A,53.832%,44.267%,N/A (Failed),N/A,54.002%,44.267%,N/A,N/A,50.007%,51.200%,N/A,N/A,13.035%,90.667%,N/A,N/A,48.023%
B5 slot: mode3_history_reset,95.680%,0.000%,N/A,N/A,95.153%,0.000%,0.0 frames,N/A,95.593%,0.800%,0.0 frames,N/A,95.669%,0.000%,0.0 frames,N/A,94.659%,1.867%,0.0 frames,N/A,95.723%,0.000%,0.0 frames,N/A,94.652%,0.000%,N/A,N/A,93.927%,0.000%,N/A,N/A,96.010%,0.000%,N/A,N/A,95.230%
B6: Obs/Prior/Policy-Output Hindsight Oracle (same rollout),95.767%,0.000%,N/A,N/A,95.242%,0.000%,0.0 frames,N/A,95.685%,0.800%,0.0 frames,N/A,95.758%,0.000%,0.0 frames,N/A,94.724%,1.867%,0.0 frames,N/A,95.812%,0.000%,0.0 frames,N/A,94.763%,0.000%,N/A,N/A,94.180%,0.000%,N/A,N/A,96.084%,0.000%,N/A,N/A,95.335%
