episode,AUC_B1_percent,AUC_B5_percent,Delta_B5_minus_B1_percentage_points,Paired_95CI_low,Paired_95CI_high
cracker_box_reorient_black10,53.438905572238916,95.1528862195529,41.71398064731398,,
cracker_box_reorient_black10_2,53.825158491825164,95.5925258591925,41.76736736736734,,
cracker_box_reorient_black10_3,53.438905572238916,95.66886886886887,42.229963296629954,,
cracker_box_reorient_black10_4,46.85845845845845,94.65905905905906,47.80060060060061,,
cracker_box_reorient_black10_5,53.8296963630297,95.72305638972306,41.89336002669336,,
PAIRED_MEAN,,,43.081054387721046,41.771211211211195,45.46914914914915
