Metric,Value,variant,base_sequence
Shared error MAE_obs_cm,49.39807014581358,no_observer_reseed,tomato_soup_can_yalehand0
Shared error MedianAE_obs_cm,23.549566962296936,no_observer_reseed,tomato_soup_can_yalehand0
Shared error Spearman_obs,0.8548233428221202,no_observer_reseed,tomato_soup_can_yalehand0
AUROC_obs_abs_risk,0.9027340633215986,no_observer_reseed,tomato_soup_can_yalehand0
AUPRC_obs_abs_risk,0.9553195897738344,no_observer_reseed,tomato_soup_can_yalehand0
Brier_obs_abs_risk,0.1791988892264998,no_observer_reseed,tomato_soup_can_yalehand0
ECE_obs_abs_risk,0.2113751313265455,no_observer_reseed,tomato_soup_can_yalehand0
Shared error MAE_prior_cm,1774.8377193708236,no_observer_reseed,tomato_soup_can_yalehand0
Shared error MedianAE_prior_cm,1.065781825817224,no_observer_reseed,tomato_soup_can_yalehand0
Shared error Spearman_prior,0.533169878446402,no_observer_reseed,tomato_soup_can_yalehand0
AUROC_prior_abs_risk,0.8179919404318655,no_observer_reseed,tomato_soup_can_yalehand0
AUPRC_prior_abs_risk,0.8000360050788782,no_observer_reseed,tomato_soup_can_yalehand0
Brier_prior_abs_risk,0.4618196472230075,no_observer_reseed,tomato_soup_can_yalehand0
ECE_prior_abs_risk,0.487942498317874,no_observer_reseed,tomato_soup_can_yalehand0
Pairwise_AUROC_prior_worse,0.3394639374079284,no_observer_reseed,tomato_soup_can_yalehand0
Pairwise_balanced_accuracy,0.520209012829728,no_observer_reseed,tomato_soup_can_yalehand0
Pairwise_ordering_accuracy,0.6032667876588022,no_observer_reseed,tomato_soup_can_yalehand0
p_risk_threshold_shared,0.2499999999999999,no_observer_reseed,tomato_soup_can_yalehand0
prior_advantage_margin_cm,0.1,no_observer_reseed,tomato_soup_can_yalehand0
