Baseline / Method,ADD-S (mustard0_black10),Failure Rate (mustard0_black10),Latency (mustard0_black10),False Triggers (mustard0_black10),ADD-S (mustard0_black10_2),Failure Rate (mustard0_black10_2),Latency (mustard0_black10_2),False Triggers (mustard0_black10_2),ADD-S (mustard0_black10_3),Failure Rate (mustard0_black10_3),Latency (mustard0_black10_3),False Triggers (mustard0_black10_3),ADD-S (mustard0_black10_4),Failure Rate (mustard0_black10_4),Latency (mustard0_black10_4),False Triggers (mustard0_black10_4),ADD-S (mustard0_black10_5),Failure Rate (mustard0_black10_5),Latency (mustard0_black10_5),False Triggers (mustard0_black10_5),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,72.553%,54.003%,N/A (Failed),N/A,98.749%,0.000%,1.0 frames,N/A,98.639%,0.271%,2.0 frames,N/A,10.542%,89.688%,N/A (Failed),N/A,96.941%,6.106%,45.0 frames,N/A,75.485%
B2: Fixed-Alpha (0.5) Interpolation,72.478%,54.003%,N/A (Failed),N/A,98.598%,0.000%,1.0 frames,N/A,98.478%,0.407%,2.0 frames,N/A,10.538%,89.552%,N/A (Failed),N/A,96.766%,6.377%,45.0 frames,N/A,75.371%
B3: Hard Depth Threshold,65.108%,56.038%,N/A (Failed),N/A,98.588%,0.407%,1.0 frames,N/A,98.566%,0.407%,2.0 frames,N/A,10.743%,89.552%,N/A (Failed),N/A,97.075%,3.799%,45.0 frames,N/A,74.016%
B4: Robust Huber Weighting,72.555%,54.003%,N/A (Failed),N/A,98.726%,0.000%,2.0 frames,N/A,98.619%,0.271%,2.0 frames,N/A,10.542%,89.688%,N/A (Failed),N/A,96.844%,6.106%,46.0 frames,N/A,75.457%
B5: Proposed Shared Pose-Quality Policy,72.809%,53.596%,N/A (Failed),0 times,98.784%,0.000%,1.0 frames,0 times,98.781%,0.000%,0.0 frames,0 times,11.323%,89.009%,0.0 frames,0 times,97.339%,5.156%,0.0 frames,0 times,75.807%
B6: Oracle Decision Policy (Upper Bound),77.719%,53.596%,N/A (Failed),0 times,98.833%,0.000%,0.0 frames,0 times,98.810%,0.000%,2.0 frames,0 times,11.559%,89.145%,N/A (Failed),0 times,97.797%,3.121%,45.0 frames,0 times,76.944%
