episode,blackout_start_index,blackout_end_index,recovery_index,blackout_start_frame,blackout_end_frame,recovery_frame
mustard0_black10,100,109,110,233,242,243
mustard0_black10_2,495,504,505,766,775,776
mustard0_black10_3,555,564,565,839,848,849
mustard0_black10_4,75,84,85,208,217,218
mustard0_black10_5,580,589,590,864,873,874
