episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,b6_oracle_source,b6_oracle_version,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
sugar_box_yalehand0_occ40,0,0.9600375693705938,0.9600375693705938,0.9548538202726085,0.9548538202726085,0.04648042188921759,0.04648042188921759,0.0891009055627426,0.0891009055627426,0.0,0.0,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.5,0,0,0,False,0,0,0.9600375693705938,policy_output,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.312065102159977,0,1,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,16.43566507846117,5.169661715626717,23.917391896247864,0.9600375693705938,0.9600375693705914,0.9600375693705938,0.9600375693705839,0.9600375693705914,0.9600375693705914
sugar_box_yalehand0_occ40,1,1.0155425403490526,1.0155425403490526,0.9571744585308755,0.9571744585308755,0.04659338603410179,0.04659338603410179,0.0891009055627426,0.0891009055627426,0.0,0.0,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.5,0,0,0,False,0,1,1.0155425403490526,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.3930445313453674,0,2,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,12.038267217576504,0.8629998192191124,15.294311568140984,1.0155425403490526,1.0155425403490534,1.0155425403490526,1.0155425403490543,1.0155425403490534,1.0155425403490526
sugar_box_yalehand0_occ40,2,1.1533098449837405,1.0728177336741562,1.0201423390826039,1.026503776514751,0.04965853966429684,0.04996820203291327,0.12499999999999999,0.12499999999999999,-0.08049211130958422,0.006361437432147232,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.4984609272520979,0,0,0,False,0,1,1.0728177336741562,prior,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.0000701770186424,0,3,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,10.236842557787895,0.8722655475139618,13.1091782823205,1.1533098449837405,1.1085406896398233,1.072817733674147,1.1532896282333516,1.1086810580233264,1.0728177336741562
sugar_box_yalehand0_occ40,3,1.3667561837329445,1.1724426548871785,0.993862909474766,0.9982417650137265,0.04837930827908693,0.04859246242742004,0.0891009055627426,0.0891009055627426,-0.19431352884576603,0.004378855538960558,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.4989118718338862,0,0,0,False,0,1,1.1724426548871785,prior,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.9615162163972855,0,4,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,10.221514850854874,0.7616542279720306,12.94468529522419,1.3667561837329445,1.2701098240169226,1.0935805090851547,1.366679003028869,1.270550544714596,1.1724426548871785
sugar_box_yalehand0_occ40,4,1.5286692302620262,1.4722936513597136,1.0091207566554388,1.025630407001755,0.04912203052517525,0.04992568810819792,0.0891009055627426,0.12499999999999999,-0.056375578902312595,0.01650965034631624,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.4959825669798062,0,0,0,False,0,1,1.4722936513597136,prior,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.145701088011265,0,5,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,9.847946465015411,0.8472874760627747,12.84093502908945,1.5286692302620262,1.5002027249786303,1.2186790078908671,1.5285353768139025,1.5007827349961134,1.4722936513597136
sugar_box_yalehand0_occ40,5,1.6051274036725374,1.659234524601384,0.9814527016657688,1.0203661648506615,0.04777520356436697,0.04966943506619828,0.0891009055627426,0.12499999999999999,0.05410712092884662,0.03891346318489264,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.4903766198274873,0,0,0,False,0,1,1.6051274036725374,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.3835448771715164,0,6,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,10.945942252874374,0.7745902985334396,13.10407742857933,1.6051274036725374,1.6320512709184265,1.2705228876349086,1.6050863975795877,1.6319262261872456,1.6051274036725374
sugar_box_yalehand0_occ40,6,1.7710096937520639,1.8519818320847967,1.0196941217220317,1.0337300857889862,0.04963672131726282,0.050319964676196746,0.10329108123478564,0.12499999999999999,0.08097213833273287,0.01403596406695451,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.49661526955841717,0,0,0,False,0,1,1.7710096937520639,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.2073397412896156,0,7,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,10.295277461409569,0.7751276716589928,13.277744874358177,1.7710096937520639,1.809071192492579,1.3582820991172868,1.7710804557202413,1.8083501090006737,1.7710096937520639
sugar_box_yalehand0_occ40,7,1.7062438881630733,1.9894078072233712,0.9934353668324913,1.0188454960167468,0.04835849633702141,0.0495954118728534,0.0891009055627426,0.09302325581395349,0.2831639190602979,0.025410129184255448,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.4937483716820935,0,0,0,False,0,1,1.7062438881630733,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.2218115627765656,0,8,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,11.346214450895786,0.8153673261404037,14.383393339812756,1.7062438881630733,1.8447564287129952,1.4237503348405705,1.7063117725148322,1.842312762207527,1.7062438881630733
sugar_box_yalehand0_occ40,8,1.8154070921886016,1.9127458948610665,1.0661953417499481,0.9889790439871472,0.0519003100251593,0.048141571231284264,0.24242424242424243,0.0891009055627426,0.09733880267246486,-0.07721629776280092,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.5186047732406291,0,0,0,False,0,1,1.8154070921886016,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.947765238583088,0,9,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,11.893807910382748,0.7915254682302475,14.633098617196083,1.8154070921886016,1.866717027343354,1.5166310770766918,1.815544277052498,1.8663470992439763,1.8154070921886016
sugar_box_yalehand0_occ40,9,1.7852002910708007,1.8682991681330265,1.0092489403202578,1.0574559679441669,0.04912827025600483,0.05147489435114093,0.0891009055627426,0.24242424242424243,0.08309887706222585,0.04820702762390905,MODE_4_TRUSTED_FUSION,no_observer_reseed,four_mode_relocalization_v2,0.48844900698872556,0,0,0,False,0,1,1.7852002910708007,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.1972451359033585,0,10,cache_read_only_not_online_fps,6f73a718a0a510a7f697c57a04db140b98a9401375bf9bf5d5813eedc8e49a77,cached_perception_v2,0,0,0,,,0,0.0,0,11.474031023681164,0.7912851870059967,14.462561346590519,1.7852002910708007,1.8256936409080513,1.5885497014633803,1.7853234196661696,1.8254899946700882,1.7852002910708007
