Baseline / Method,ADD-S (sugar_box_yalehand0_clean),Failure Rate (sugar_box_yalehand0_clean),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_clean),False Triggers (sugar_box_yalehand0_clean),ADD-S (sugar_box_yalehand0_black10),Failure Rate (sugar_box_yalehand0_black10),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_black10),False Triggers (sugar_box_yalehand0_black10),ADD-S (sugar_box_yalehand0_black10_2),Failure Rate (sugar_box_yalehand0_black10_2),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_black10_2),False Triggers (sugar_box_yalehand0_black10_2),ADD-S (sugar_box_yalehand0_black10_3),Failure Rate (sugar_box_yalehand0_black10_3),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_black10_3),False Triggers (sugar_box_yalehand0_black10_3),ADD-S (sugar_box_yalehand0_black10_4),Failure Rate (sugar_box_yalehand0_black10_4),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_black10_4),False Triggers (sugar_box_yalehand0_black10_4),ADD-S (sugar_box_yalehand0_black10_5),Failure Rate (sugar_box_yalehand0_black10_5),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_black10_5),False Triggers (sugar_box_yalehand0_black10_5),ADD-S (sugar_box_yalehand0_occ40),Failure Rate (sugar_box_yalehand0_occ40),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_occ40),False Triggers (sugar_box_yalehand0_occ40),ADD-S (sugar_box_yalehand0_occ60),Failure Rate (sugar_box_yalehand0_occ60),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_occ60),False Triggers (sugar_box_yalehand0_occ60),ADD-S (sugar_box_yalehand0_drop60),Failure Rate (sugar_box_yalehand0_drop60),Legacy latency <0.5cm single-frame (sugar_box_yalehand0_drop60),False Triggers (sugar_box_yalehand0_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,91.221%,12.974%,N/A,N/A,11.605%,97.605%,N/A (Failed),N/A,20.411%,88.124%,N/A (Failed),N/A,28.150%,78.842%,N/A (Failed),N/A,43.491%,62.774%,N/A (Failed),N/A,53.800%,51.996%,N/A (Failed),N/A,8.343%,97.605%,N/A,N/A,8.083%,97.505%,N/A,N/A,2.949%,99.701%,N/A,N/A,29.784%
B2: Fixed-Alpha (0.5) Interpolation,91.129%,12.874%,N/A,N/A,11.624%,97.804%,N/A (Failed),N/A,20.398%,88.323%,N/A (Failed),N/A,28.131%,78.942%,N/A (Failed),N/A,43.473%,62.974%,N/A (Failed),N/A,53.759%,51.996%,N/A (Failed),N/A,8.346%,97.605%,N/A,N/A,8.086%,97.705%,N/A,N/A,2.948%,99.601%,N/A,N/A,29.766%
B3: Hard Depth Threshold,90.993%,13.872%,N/A,N/A,12.049%,98.703%,N/A (Failed),N/A,33.709%,86.327%,N/A (Failed),N/A,31.459%,79.142%,N/A (Failed),N/A,47.520%,59.780%,N/A (Failed),N/A,56.966%,52.096%,N/A (Failed),N/A,11.646%,98.703%,N/A,N/A,10.321%,98.703%,N/A,N/A,0.959%,99.701%,N/A,N/A,32.847%
B4: Robust Huber Weighting,91.169%,12.974%,N/A,N/A,11.620%,97.605%,N/A (Failed),N/A,20.412%,88.124%,N/A (Failed),N/A,28.148%,78.842%,N/A (Failed),N/A,43.487%,62.774%,N/A (Failed),N/A,53.800%,51.996%,N/A (Failed),N/A,8.343%,97.605%,N/A,N/A,8.082%,97.505%,N/A,N/A,2.942%,99.701%,N/A,N/A,29.778%
B5 slot: no_observer_reseed,91.512%,11.277%,N/A,N/A,85.605%,17.764%,98.0 frames,N/A,24.696%,81.637%,0.0 frames,N/A,85.110%,27.246%,0.0 frames,N/A,51.197%,53.693%,0.0 frames,N/A,56.613%,47.106%,0.0 frames,N/A,80.096%,32.535%,N/A,N/A,10.091%,94.711%,N/A,N/A,4.707%,95.509%,N/A,N/A,54.403%
B6: Obs/Prior/Policy-Output Hindsight Oracle (same rollout),91.837%,10.679%,N/A,N/A,85.706%,17.166%,98.0 frames,N/A,25.436%,80.439%,0.0 frames,N/A,85.250%,27.046%,0.0 frames,N/A,51.799%,52.595%,0.0 frames,N/A,56.903%,46.906%,0.0 frames,N/A,81.186%,31.437%,N/A,N/A,10.648%,94.112%,N/A,N/A,4.958%,95.110%,N/A,N/A,54.858%
