variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,runtime_scope,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_clean,375,61.90577243910576,53.83076409743076,41.6,37.6,43.46666666666666,80.4761372501557,195.8628560602665,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.261019403735794,7,7,7,7,43370.919877663255,0.0,19.603089178601902,,0
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10,375,88.81494828161495,53.43890557223891,29.86666666666667,13.866666666666665,39.46666666666667,96.27774380114393,407.1334108884136,cached_masks_excludes_sam2_preprocessing_not_online_fps,70.76360740264256,37,36,36,36,89341.87040198594,2.666666666666667,18.907103796799976,28145.144595764577,1
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_2,375,88.23156489823155,53.825158491825164,30.133333333333333,16.266666666666666,38.666666666666664,84.60975641726839,364.3776753420631,cached_masks_excludes_sam2_preprocessing_not_online_fps,63.15127463142077,32,31,31,31,102780.13334982097,2.666666666666667,16.4403861562411,2479.4580955058336,1
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_3,375,55.265131798465134,53.43890557223891,44.53333333333334,43.2,45.33333333333333,80.96239274001186,169.10822656502327,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.9558040574193,4,3,3,3,7459.53933801502,2.666666666666667,16.3313825627168,25709.141648374494,1
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_4,375,88.54774774774775,46.85845845845846,33.06666666666666,16.266666666666666,42.66666666666667,81.97232883853408,393.6693579231699,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.121099062263966,37,36,36,36,89020.57801000774,2.666666666666667,17.584929153323174,28191.67445693165,1
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_5,375,85.7163830497164,53.829696363029704,30.4,17.333333333333336,38.666666666666664,77.82241140037428,349.7301289687554,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.73777038604021,31,30,30,30,99655.6619219482,2.666666666666667,16.504176788032055,2491.776262409985,1
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ40,375,87.24017350684016,54.00613947280614,37.6,23.733333333333334,40.266666666666666,82.2266083179047,291.9719427873691,cached_masks_excludes_sam2_preprocessing_not_online_fps,60.721523160735764,22,22,22,22,78935.05447451025,0.0,16.48243899891774,,0
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ60,375,79.80233566900233,50.00960960960961,44.53333333333334,39.2,46.666666666666664,78.75457998518257,212.68664920826754,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.04690497368574,10,10,10,10,50360.88477820158,0.0,16.909281263748806,,0
no_rollout,cracker_box_reorient,003_cracker_box,cracker_box_reorient_drop60,375,84.95949282615948,13.054788121454788,51.46666666666667,24.266666666666666,67.46666666666667,116.65456270319729,625.9306807170311,cached_masks_excludes_sam2_preprocessing_not_online_fps,82.71188647548358,68,68,68,68,194060.51079090685,0.0,20.844237471620243,,0
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_clean,1327,41.27480909696433,0.38980200999794057,75.28259231348908,61.71816126601356,83.64732479276563,73.82145381211787,344.6729595709056,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.89849297241915,131,131,131,131,346488.4585859254,0.0,20.101275541359936,,0
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10,1327,22.938273616495167,0.4040212028154755,81.3112283345893,77.3172569706104,81.83873398643556,66.90909782312839,111.28528392224516,cached_masks_excludes_sam2_preprocessing_not_online_fps,52.8782621066745,10,9,9,9,45410.76743695885,0.7535795026375283,17.960265791148913,2464.027363806963,1
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_2,1327,35.67553989558511,0.3918387113564204,78.7490580256217,67.97287113790505,85.00376789751319,69.98546706237804,284.29208448565174,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.142034325234945,100,99,99,99,269493.76797676086,0.7535795026375283,19.52859546817957,2493.5395028442144,1
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_3,1327,78.05250616102161,0.3888968093941718,53.65486058779201,31.273549359457427,70.30896759608139,72.40188746744032,510.33210334492276,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.71795887898123,216,242,215,215,562606.307159178,2.7882441597588548,21.19532054095068,2485.163401812315,1
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_4,1327,39.65906373592884,0.38836877570864003,76.33760361718161,63.602110022607384,83.94875659382065,69.8269158416423,321.77309566910833,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.520508402168254,121,120,120,120,319902.52787899226,0.7535795026375283,19.467561210266343,2477.8564013540745,1
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_5,1327,55.27641431936836,0.3953840803878483,69.93217784476262,51.99698568198945,82.59231348907309,70.85451195448132,435.6673324639265,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.81902630922484,177,204,177,177,469981.1413809657,2.8636021100226077,20.33058655488262,2522.0821648836136,1
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ40,1327,66.57105485289358,0.3927439119601892,69.63074604370762,44.31047475508666,87.64129615674454,72.50588463755474,519.4796169844835,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.35294996411978,219,246,219,219,578352.8595259413,2.0346646571213265,21.165373813032474,,0
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ60,1327,41.40768500225923,0.3888213760105244,81.08515448379804,64.58176337603618,88.99773926149209,70.0121729163273,313.7323935638998,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.961771838305225,116,116,116,116,310822.75976985693,0.0,19.952296383240974,,0
no_rollout,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_drop60,1327,27.5247742090244,0.3890099594696429,82.29088168801808,73.92614920874152,87.18914845516203,69.31177302348343,278.0978823643523,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.431870233090685,95,95,95,95,262256.530075334,0.0,19.41826900420956,,0
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_clean,1002,93.93465321609035,91.22146098194001,10.479041916167663,0.6986027944111777,10.079840319361278,90.00026292382991,311.25176232122254,cached_masks_excludes_sam2_preprocessing_not_online_fps,63.92808611543771,81,81,81,81,223108.01970493048,0.0,21.37802057563069,,0
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10,1002,94.00118681555809,11.605417793042543,10.379241516966067,0.6986027944111777,9.780439121756487,84.97580910608059,300.63868329921615,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.683989870691015,79,78,78,78,215013.85115645826,0.998003992015968,20.84685937350917,2458.396712318063,1
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_2,1002,93.79269489049929,20.41117964271657,11.57684630738523,1.1976047904191618,9.980039920159681,84.05625172774685,301.4003671361821,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.55935198517736,79,78,78,78,216449.7642731294,0.998003992015968,20.7797024759674,2463.147795759141,1
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_3,1002,93.91387395379411,28.15020609431787,10.479041916167663,0.6986027944111777,10.079840319361278,86.20143978535289,305.89724976584284,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.38783569443606,80,79,79,79,218995.51313649863,0.998003992015968,20.953967110504827,2476.8206300213933,1
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_4,1002,93.93804982627337,43.490796185406964,10.479041916167663,0.6986027944111777,10.079840319361278,86.76209710437156,313.39475280510453,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.8925904941535,82,81,81,81,225736.97548452765,0.998003992015968,21.094682408002264,2498.8085152581334,1
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_5,1002,93.74554194913475,53.79965794137451,10.878243512974052,0.7984031936127743,10.578842315369261,87.34162635857497,322.79732090025067,cached_masks_excludes_sam2_preprocessing_not_online_fps,60.96655010671435,85,84,84,84,234602.4587340653,0.998003992015968,21.03840757232018,2490.665231831372,1
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ40,1002,88.96246545947145,8.342524160887434,22.954091816367264,9.580838323353294,21.55688622754491,88.16677231351201,660.2747825777415,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.43311899881847,226,226,226,226,577296.7986799777,0.0,20.759815102937573,,0
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ60,1002,80.07648366929803,8.083083083083084,28.74251497005988,25.64870259481038,28.642714570858285,88.0834908785191,486.11602732844784,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.933161379735985,153,153,153,153,401276.6098603606,0.0,20.993046324045775,,0
no_rollout,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_drop60,1002,90.36696377015738,2.9485073896251546,25.848303393213573,7.784431137724551,26.34730538922156,69.93034274786365,878.0276427657052,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.400447082897266,313,313,313,313,795754.6360753477,0.0,20.890551130333822,,0
no_rollout,sugar_box1,004_sugar_box,sugar_box1_clean,907,94.96823173780174,90.99049435322863,2.535832414553473,0.5512679162072767,2.535832414553473,45.96436816555936,259.0545851915927,cached_masks_excludes_sam2_preprocessing_not_online_fps,30.231373198741128,67,67,67,67,191332.3009526357,0.0,14.556135184438581,,0
no_rollout,sugar_box1,004_sugar_box,sugar_box1_black10,907,94.98478632988005,10.059342694403334,2.4255788313120177,0.5512679162072767,2.6460859977949283,79.83257699267058,303.42011185631964,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.71875059124916,72,71,71,71,175699.98308457434,1.1025358324145533,19.43643433642558,27804.15075086057,1
no_rollout,sugar_box1,004_sugar_box,sugar_box1_black10_2,907,94.73856436370218,86.28843838325648,3.9691289966923926,0.9922822491730982,4.5203969128996695,67.1213555403731,289.24483860316127,cached_masks_excludes_sam2_preprocessing_not_online_fps,46.55789561434151,70,70,70,70,172822.64784816653,1.2127894156560088,17.446834459498344,28506.891704164445,1
no_rollout,sugar_box1,004_sugar_box,sugar_box1_black10_3,907,94.90863520631989,35.8187294240216,3.197353914002205,0.5512679162072767,3.8588754134509373,61.596131842293424,285.63737099252995,cached_masks_excludes_sam2_preprocessing_not_online_fps,41.40712378717047,72,71,71,71,176440.81380404532,1.1025358324145533,16.821748704383563,26187.40387354046,1
no_rollout,sugar_box1,004_sugar_box,sugar_box1_black10_4,907,78.5424343858743,52.695197954293874,40.35281146637266,29.878721058434397,40.242557883131205,13.793962455149424,28.930273634004752,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,375,0,0,14168.796905316412,42.55788313120176,10.696728971541388,35.73095053434372,1
no_rollout,sugar_box1,004_sugar_box,sugar_box1_black10_5,907,65.61489824995888,64.49486973191495,33.62734288864388,33.18632855567806,33.51708930540242,13.638353552363935,28.40037417496414,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,296,0,0,13400.188099592924,33.84785005512679,10.931401625439902,39.071657694876194,1
no_rollout,sugar_box1,004_sugar_box,sugar_box1_occ40,907,93.73480426402146,90.21778117698733,6.945975744211687,1.5435501653803747,6.615214994487322,71.0932432197123,281.60967740364777,cached_masks_excludes_sam2_preprocessing_not_online_fps,49.3102562659992,67,67,67,67,191021.07530646026,0.0,18.54286022800562,,0
no_rollout,sugar_box1,004_sugar_box,sugar_box1_occ60,907,13.578407514460435,13.158362331460456,87.43109151047409,87.43109151047409,87.32083792723263,23.363128114520453,23.363128114520453,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,0,0,0,0.0,0.0,17.96595081728046,,0
no_rollout,sugar_box1,004_sugar_box,sugar_box1_drop60,907,92.14810179529032,20.515333415002655,22.822491730981255,4.5203969128996695,27.783902976846747,75.57924025065866,989.2413781805923,cached_masks_excludes_sam2_preprocessing_not_online_fps,62.58572457315115,321,321,321,321,816776.6845235601,0.0,21.78594053341969,,0
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_clean,1308,95.43939964429259,96.87937172646653,3.746177370030581,3.746177370030581,3.746177370030581,100.44649938897243,1600.3402080365518,cached_masks_excludes_sam2_preprocessing_not_online_fps,60.160390586259034,787,787,787,787,1981592.3334201798,0.0,21.969130010677315,,0
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10,1308,95.23675051197986,7.082273404903374,4.281345565749235,3.82262996941896,4.3577981651376145,95.46867625143092,1605.4608515664559,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.39862583164091,787,787,787,787,1991778.0003882945,0.8409785932721712,20.985093349391533,2490.9315360710025,1
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_2,1308,95.4279968041436,18.9933434964016,3.82262996941896,3.746177370030581,3.746177370030581,93.93941058718056,1600.942779605815,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.28864176055297,788,788,788,788,1988178.96375712,0.8409785932721712,20.71051605099909,2472.137897275388,1
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_3,1308,95.12853832425698,24.75372926443263,4.3577981651376145,4.3577981651376145,4.3577981651376145,93.67625289981751,1575.3180183561387,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.79853742753671,775,775,775,775,1953947.5226774812,0.8409785932721712,20.655925142143023,2492.537772282958,1
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_4,1308,93.05352753364986,36.84919629109232,14.143730886850154,11.238532110091743,9.709480122324159,98.18831248331763,1498.3348834438004,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.93231786300488,732,731,731,731,1848640.1938479394,0.764525993883792,20.91358500014455,2484.5569618046284,1
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_5,1308,95.31419799003898,45.079636211134684,4.587155963302752,4.128440366972478,4.587155963302752,97.95636663732934,1598.9789174284376,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.81516130651926,780,780,780,780,1982445.6713534892,0.8409785932721712,20.33079531120666,2532.085898332298,1
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_occ40,1308,94.61043612419759,96.84745907987498,7.721712538226299,4.3577981651376145,5.81039755351682,108.45380067025538,1909.3767053722504,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.66038571124959,954,954,954,954,2393195.6888101995,0.0,20.350206633374686,,0
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_occ60,1308,94.11184885191003,17.53542533359047,7.951070336391437,5.198776758409786,8.333333333333332,109.38257104730239,1910.3800398838744,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.224385433793294,951,951,951,951,2393735.242269933,0.0,20.824381174513963,,0
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_drop60,1308,95.11503093307375,0.8465652196539047,3.211009174311927,1.6055045871559634,4.281345565749235,70.33642552172144,2573.599212365766,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.0308663597507,1302,1302,1302,1302,3261454.2839312926,0.0,20.55629188784424,,0
