Baseline / Method,ADD-S (cracker_box_yalehand0_clean),Failure Rate (cracker_box_yalehand0_clean),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_clean),False Triggers (cracker_box_yalehand0_clean),ADD-S (cracker_box_yalehand0_black10),Failure Rate (cracker_box_yalehand0_black10),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10),False Triggers (cracker_box_yalehand0_black10),ADD-S (cracker_box_yalehand0_black10_2),Failure Rate (cracker_box_yalehand0_black10_2),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_2),False Triggers (cracker_box_yalehand0_black10_2),ADD-S (cracker_box_yalehand0_black10_3),Failure Rate (cracker_box_yalehand0_black10_3),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_3),False Triggers (cracker_box_yalehand0_black10_3),ADD-S (cracker_box_yalehand0_black10_4),Failure Rate (cracker_box_yalehand0_black10_4),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_4),False Triggers (cracker_box_yalehand0_black10_4),ADD-S (cracker_box_yalehand0_black10_5),Failure Rate (cracker_box_yalehand0_black10_5),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_5),False Triggers (cracker_box_yalehand0_black10_5),ADD-S (cracker_box_yalehand0_occ40),Failure Rate (cracker_box_yalehand0_occ40),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_occ40),False Triggers (cracker_box_yalehand0_occ40),ADD-S (cracker_box_yalehand0_occ60),Failure Rate (cracker_box_yalehand0_occ60),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_occ60),False Triggers (cracker_box_yalehand0_occ60),ADD-S (cracker_box_yalehand0_drop60),Failure Rate (cracker_box_yalehand0_drop60),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_drop60),False Triggers (cracker_box_yalehand0_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,0.390%,99.849%,N/A,N/A,0.404%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.388%,99.849%,N/A (Failed),N/A,0.395%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.392%
B2: Fixed-Alpha (0.5) Interpolation,0.387%,99.849%,N/A,N/A,0.401%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.386%,99.849%,N/A (Failed),N/A,0.386%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A,N/A,0.386%,99.849%,N/A,N/A,0.388%,99.849%,N/A,N/A,0.389%
B3: Hard Depth Threshold,0.358%,99.849%,N/A,N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A,N/A,0.358%,99.849%,N/A,N/A,0.364%,99.849%,N/A,N/A,0.359%
B4: Robust Huber Weighting,0.389%,99.849%,N/A,N/A,0.403%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.388%,99.849%,N/A (Failed),N/A,0.394%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.392%
B5 slot: mode3_history_reset,91.534%,5.878%,N/A,N/A,92.085%,4.748%,0.0 frames,N/A,91.555%,5.878%,0.0 frames,N/A,91.741%,5.275%,1.0 frames,N/A,91.737%,5.275%,5.0 frames,N/A,92.103%,4.748%,1.0 frames,N/A,90.607%,2.939%,N/A,N/A,88.915%,9.495%,N/A,N/A,93.546%,2.336%,N/A,N/A,91.536%
B6: Obs/Prior/Policy-Output Hindsight Oracle (same rollout),91.755%,5.803%,N/A,N/A,92.301%,4.672%,0.0 frames,N/A,91.760%,5.803%,0.0 frames,N/A,91.946%,5.200%,1.0 frames,N/A,91.955%,5.200%,0.0 frames,N/A,92.325%,4.672%,1.0 frames,N/A,90.902%,2.788%,N/A,N/A,89.684%,9.043%,N/A,N/A,93.825%,2.261%,N/A,N/A,91.828%
