Baseline / Method,ADD-S (cracker_box_yalehand0_clean),Failure Rate (cracker_box_yalehand0_clean),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_clean),False Triggers (cracker_box_yalehand0_clean),ADD-S (cracker_box_yalehand0_black10),Failure Rate (cracker_box_yalehand0_black10),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10),False Triggers (cracker_box_yalehand0_black10),ADD-S (cracker_box_yalehand0_black10_2),Failure Rate (cracker_box_yalehand0_black10_2),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_2),False Triggers (cracker_box_yalehand0_black10_2),ADD-S (cracker_box_yalehand0_black10_3),Failure Rate (cracker_box_yalehand0_black10_3),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_3),False Triggers (cracker_box_yalehand0_black10_3),ADD-S (cracker_box_yalehand0_black10_4),Failure Rate (cracker_box_yalehand0_black10_4),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_4),False Triggers (cracker_box_yalehand0_black10_4),ADD-S (cracker_box_yalehand0_black10_5),Failure Rate (cracker_box_yalehand0_black10_5),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_black10_5),False Triggers (cracker_box_yalehand0_black10_5),ADD-S (cracker_box_yalehand0_occ40),Failure Rate (cracker_box_yalehand0_occ40),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_occ40),False Triggers (cracker_box_yalehand0_occ40),ADD-S (cracker_box_yalehand0_occ60),Failure Rate (cracker_box_yalehand0_occ60),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_occ60),False Triggers (cracker_box_yalehand0_occ60),ADD-S (cracker_box_yalehand0_drop60),Failure Rate (cracker_box_yalehand0_drop60),Legacy latency <0.5cm single-frame (cracker_box_yalehand0_drop60),False Triggers (cracker_box_yalehand0_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,0.390%,99.849%,N/A,N/A,0.404%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.388%,99.849%,N/A (Failed),N/A,0.395%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.392%
B2: Fixed-Alpha (0.5) Interpolation,0.387%,99.849%,N/A,N/A,0.401%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.386%,99.849%,N/A (Failed),N/A,0.386%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A,N/A,0.386%,99.849%,N/A,N/A,0.388%,99.849%,N/A,N/A,0.389%
B3: Hard Depth Threshold,0.358%,99.849%,N/A,N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A (Failed),N/A,0.358%,99.849%,N/A,N/A,0.358%,99.849%,N/A,N/A,0.364%,99.849%,N/A,N/A,0.359%
B4: Robust Huber Weighting,0.389%,99.849%,N/A,N/A,0.403%,99.849%,N/A (Failed),N/A,0.392%,99.849%,N/A (Failed),N/A,0.389%,99.849%,N/A (Failed),N/A,0.388%,99.849%,N/A (Failed),N/A,0.394%,99.849%,N/A (Failed),N/A,0.393%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.389%,99.849%,N/A,N/A,0.392%
B5 slot: no_observer_reseed,92.676%,2.261%,N/A,N/A,92.589%,2.261%,0.0 frames,N/A,92.782%,2.261%,0.0 frames,N/A,92.037%,3.617%,1.0 frames,N/A,92.655%,2.336%,5.0 frames,N/A,92.158%,2.261%,1.0 frames,N/A,92.471%,2.336%,N/A,N/A,90.303%,5.576%,N/A,N/A,92.724%,2.336%,N/A,N/A,92.266%
B6: Obs/Prior/Policy-Output Hindsight Oracle (same rollout),92.841%,2.261%,N/A,N/A,92.745%,2.261%,0.0 frames,N/A,92.933%,2.261%,0.0 frames,N/A,92.186%,3.617%,1.0 frames,N/A,92.814%,2.336%,4.0 frames,N/A,92.321%,2.261%,1.0 frames,N/A,92.712%,2.261%,N/A,N/A,90.931%,5.049%,N/A,N/A,92.922%,2.336%,N/A,N/A,92.489%
