variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_clean,375,53.84918251584918,53.83076409743076,45.33333333333333,44.266666666666666,45.33333333333333,13.04276878759265,12.202065009623766,,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10,375,53.798465131798466,53.43890557223891,45.33333333333333,44.266666666666666,45.33333333333333,12.262194017745196,11.453363161534071,57103.84988971055,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_2,375,54.322188855522185,53.825158491825164,44.800000000000004,43.733333333333334,44.800000000000004,12.452436551292312,11.599881811688343,87991.1710950546,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_3,375,53.80807474140808,53.43890557223891,45.6,44.266666666666666,45.33333333333333,12.128141132198314,11.345806968708834,65949.29917901754,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_4,375,48.041775108441776,46.85845845845846,51.46666666666667,50.66666666666667,51.46666666666667,12.221164854472493,11.357727435727915,74133.93141701818,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_5,375,54.30964297630965,53.829696363029704,45.06666666666666,44.0,45.06666666666666,12.117959714599232,11.248315128187338,94725.18080566078,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ40,375,54.015081748415085,54.00613947280614,45.33333333333333,44.266666666666666,45.33333333333333,12.297375404586395,11.372236916174492,,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ60,375,49.9991991991992,50.00960960960961,51.733333333333334,51.2,51.733333333333334,12.262235245356957,11.3660513771077,,0
no_recovery_admission,cracker_box_reorient,003_cracker_box,cracker_box_reorient_drop60,375,13.056122789456124,13.054788121454788,97.6,90.66666666666666,97.33333333333334,12.307680061707893,11.287278536707163,,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_clean,1327,0.3859549074319232,0.38980200999794057,100.0,99.84928409947248,100.0,12.630741852360195,11.601631574896983,,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10,1327,0.5247900500349634,0.4040212028154755,99.92464204973625,99.77392614920875,99.92464204973625,11.777908373399333,10.897410040077022,58232.87747194991,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_2,1327,0.5185667958840527,0.3918387113564204,99.92464204973625,99.77392614920875,99.92464204973625,11.807818395587114,10.912034742340456,85062.00703093782,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_3,1327,0.5190571128777609,0.3888968093941718,99.92464204973625,99.77392614920875,99.92464204973625,11.852326409941817,10.971278628403182,100119.46189962327,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_4,1327,0.5072517883369427,0.38836877570864003,99.92464204973625,99.77392614920875,99.92464204973625,11.641800651877421,10.793492771031023,127692.68210418522,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_5,1327,0.4865453245257314,0.3953840803878483,99.92464204973625,99.77392614920875,99.92464204973625,11.842195557424768,10.94670883978534,148500.5733007565,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ40,1327,0.38919854292876144,0.3927439119601892,100.0,99.84928409947248,100.0,11.91225820470155,10.972174457902511,,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ60,1327,0.38369190592250124,0.3888213760105244,100.0,99.84928409947248,100.0,11.93723016851543,10.974426638017764,,0
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_drop60,1327,0.3876521585639897,0.3890099594696429,100.0,99.84928409947248,100.0,12.162904263864965,11.191901628394032,,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_clean,1002,91.21626616636597,91.22146098194001,20.35928143712575,12.77445109780439,19.860279441117765,12.315981921009318,11.53884555990185,,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10,1002,11.989734245223268,11.605417793042543,99.9001996007984,97.50499001996008,99.9001996007984,12.136495318152122,11.173168499349893,55493.176381103694,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_2,1002,20.93096090102079,20.41117964271657,93.51297405189621,87.32534930139721,93.31337325349301,11.943700838718678,10.964306570987352,86054.60607679561,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_3,1002,28.57273441105776,28.15020609431787,85.62874251497006,78.0439121756487,85.52894211576846,13.175574572781077,11.969707632983873,101197.65199627729,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_4,1002,44.071466676257096,43.490796185406964,69.46107784431138,61.97604790419161,69.26147704590818,12.466600402951478,11.385265355297697,138085.80748690292,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_5,1002,54.58757160353967,53.79965794137451,59.181636726546905,50.998003992015974,59.08183632734531,11.937452435072933,11.01841150175133,153008.2709128037,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ40,1002,8.344771917626208,8.342524160887434,99.9001996007984,97.60479041916167,99.9001996007984,12.736829551691542,11.644977296399558,,0
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ60,1002,8.094421767076458,8.083083083083084,99.9001996007984,97.50499001996008,99.9001996007984,12.850108981679032,11.71892772971498,,0
