Metric,Value,variant,base_sequence,source_variant,source_run
Pairwise_AUROC_prior_worse,0.929406659958716,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.8388114929552886,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.9677862726569882,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
prior_advantage_margin_cm,0.1,full,cracker_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,0.4424609065602286,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.1254519182902035,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.7391117917073137,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.8954362048081016,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.7497550085218947,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.151971433459387,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.1370797165804412,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,0.4733613191259672,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.1371167916050192,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_prior,0.7439534111169668,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_prior_abs_risk,0.8818919949701111,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_prior_abs_risk,0.6847931768589993,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_prior_abs_risk,0.1704530965785626,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_prior_abs_risk,0.1559570845854657,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_AUROC_prior_worse,0.8247739300600132,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.7948145608400449,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.8115202333211812,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
prior_advantage_margin_cm,0.1,full,sugar_box_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,8.302118243596247,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.1660144606672884,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.7402081988361388,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.7750282503445634,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.7337346119180866,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.1868980348343049,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.1679951393537342,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,5.272897973568608,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.1703255648269865,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_prior,0.645186295470091,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_prior_abs_risk,0.7444113998017835,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_prior_abs_risk,0.6133986913353139,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_prior_abs_risk,0.2218770922395688,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_prior_abs_risk,0.2025206660157253,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_AUROC_prior_worse,0.8765088169721047,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_balanced_accuracy,0.8043136333727581,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Pairwise_ordering_accuracy,0.8137684042976522,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
p_risk_threshold_shared,0.2499999999999999,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
