variant,base_sequence,object_id,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits,source_variant,source_run
full,cracker_box_reorient,003_cracker_box,94.3490601712824,48.03249175101027,6.192592592592593,0.6222222222222222,11.792592592592593,67.378831795155,605.9990682110742,63.01494731009007,68.66666666666667,68.11111111111111,68.11111111111111,68.11111111111111,185427.99968137924,1.4814814814814818,17.730086864972556,18148.19353725761,0.5555555555555556,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,92.24787879229812,0.3920985374556503,10.56685924809512,2.8049903709285773,16.695972536213684,73.11274527803904,1592.2824179425052,58.38019119239212,794.6666666666666,821.3333333333334,794.2222222222222,794.2222222222222,2000266.851077788,2.470066147534121,21.98673235749236,2490.7280940562487,0.5555555555555556,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,80.53216759574717,51.58206105161881,27.64914859732941,16.452284699252726,27.195883866225653,51.45381188356752,236.7916637460008,33.388140736964424,58.333333333333336,102.33333333333331,58.11111111111112,58.11111111111112,157166.3729947888,5.5249295602107065,15.79308510739386,17454.447991773486,0.5555555555555556,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,90.61469431285356,29.783648141377128,21.224218230206255,5.766245287203371,21.12441783100466,79.13497405266406,247.8779942601965,55.55027636676039,58.77777777777778,58.22222222222222,58.22222222222222,58.22222222222222,166684.23867805136,0.5544466622310933,20.56792148610548,2478.5829667001963,0.5555555555555556,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,73.89857152429357,38.31855555861672,25.3482840638804,24.75365273530411,25.254841997961265,47.804967013666925,64.1620074328563,27.77225229458145,1.4444444444444444,1.3333333333333333,1.3333333333333333,1.3333333333333333,5929.720118020971,0.4587155963302752,16.022445751490807,27940.222331508998,0.5555555555555556,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,82.6129388647907,48.03249175101027,29.18518518518518,18.48888888888889,37.096296296296295,49.429154877722986,585.9977837552627,62.54796720682472,68.66666666666667,68.11111111111111,68.11111111111111,68.11111111111111,185358.03880407996,28.85925925925926,17.65919057417799,17176.026674732566,0.5555555555555556,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,72.33202389360808,0.3920985374556503,40.98635183789668,31.055848614251023,48.85707108766641,50.794963066541214,1563.7637359043126,56.97881573403959,794.6666666666666,821.3333333333334,794.2222222222222,794.2222222222222,1993669.9194830533,34.52231432638366,21.285320152968787,2501.5557458624244,0.5555555555555556,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,sugar_box1,004_sugar_box,77.85941644204537,51.58206105161881,29.082445179468337,18.09383804973662,29.10694597574421,35.643030784344774,220.6528502197337,33.39384651124389,58.333333333333336,102.33333333333331,58.11111111111112,58.11111111111112,157211.39664378844,11.38061987014578,15.814113179679254,17073.673532530665,0.5555555555555556,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,sugar_box_yalehand0,004_sugar_box,90.67166523365238,29.783648141377128,21.590153027278777,5.622089155023287,21.324018629407853,61.32272437790417,233.40349035190093,58.58371056850532,58.77777777777778,58.22222222222222,58.22222222222222,58.22222222222222,169810.46122115932,1.6189842537147927,20.95494710723172,2471.5756576508284,0.5555555555555556,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,tomato_soup_can_yalehand0,005_tomato_soup_can,73.65564681228969,38.31855555861672,25.237852531430512,24.98301053346925,25.271831464492017,32.10058115173908,49.39232161996435,28.137647277605,1.4444444444444444,1.3333333333333333,1.3333333333333333,1.3333333333333333,6191.21295099871,0.9259259259259258,16.46888596260483,29673.11992160976,0.5555555555555556,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_recovery_admission,cracker_box_reorient,003_cracker_box,94.35282690097505,48.03249175101027,6.192592592592593,0.6222222222222222,12.68148148148148,67.78211389129916,631.7771672098725,64.3064685670866,72.0,71.44444444444444,71.44444444444444,71.44444444444444,194520.41495529315,1.4814814814814818,17.556564990569044,18504.37123607844,0.5555555555555556,no_recovery_admission,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/controls
no_recovery_admission,cracker_box_yalehand0,003_cracker_box,92.24570798714647,0.3920985374556503,10.650590303943734,2.8049903709285773,16.603868374780205,72.30286428023442,1586.6844649446523,57.24126342178717,794.7777777777778,821.3333333333334,794.2222222222222,794.2222222222222,1995433.0522696385,2.461693041949259,21.33976336592612,2487.094902433455,0.5555555555555556,no_recovery_admission,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/controls
no_recovery_admission,sugar_box1,004_sugar_box,80.53439940001255,51.58206105161881,27.56339581036384,16.452284699252726,27.159132671811832,49.62911972102376,236.4309948725181,33.503942364220066,58.44444444444444,102.33333333333331,58.11111111111112,58.11111111111112,156665.63955963484,5.512679162072768,15.801509746554457,17613.123292848468,0.5555555555555556,no_recovery_admission,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/controls
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,90.61322910846089,29.783648141377128,21.279662896429365,5.766245287203371,21.30184076291861,82.1331519410429,252.71965990458116,58.032148487718864,58.888888888888886,58.333333333333336,58.333333333333336,58.333333333333336,168770.24759300466,0.5544466622310933,20.676042551117337,2457.384276948869,0.5555555555555556,no_recovery_admission,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/controls
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,77.84140324490308,38.31855555861672,21.00747536527353,20.710159700985383,20.948012232415905,51.47102876405585,67.61078185508185,30.456151365407884,1.4444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,4942.456943086452,0.4247366632687733,16.812849579890983,29178.396846354008,0.5555555555555556,no_recovery_admission,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/controls
no_rollout,cracker_box_reorient,003_cracker_box,80.05372780187594,48.03249175101027,38.13333333333333,25.74814814814815,44.74074074074073,86.63961349486365,334.49676982892885,62.83009883926975,27.55555555555556,27.0,27.0,27.0,83887.23921589553,1.4814814814814818,17.7341139300002,17403.43901179731,0.5555555555555556,no_rollout,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/no_rollout
no_rollout,cracker_box_yalehand0,003_cracker_box,45.37556898772674,0.3920985374556503,74.25270032655112,59.63325797538307,83.4631164698987,70.62546272650597,346.59252804105506,55.96920833669096,131.66666666666666,140.22222222222223,131.22222222222223,131.22222222222223,351701.67997665703,1.1052499372017082,19.902171589696785,2488.533766940236,0.5555555555555556,no_rollout,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/no_rollout
no_rollout,sugar_box1,004_sugar_box,80.35765153858992,51.58206105161881,22.589734166360405,17.68957491118461,23.22675486953326,50.220262237033474,276.54463757237033,31.7567915589614,74.33333333333333,148.66666666666666,74.11111111111111,74.11111111111111,194629.16561381685,8.869288251868186,16.46489276227035,16514.64978735894,0.5555555555555556,no_rollout,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/no_rollout
no_rollout,sugar_box_yalehand0,004_sugar_box,91.41465706114188,29.783648141377128,15.757374140607672,5.311599024173876,15.236194278110446,85.0575658828724,431.0887320999682,59.90945908089574,130.88888888888889,130.33333333333334,130.33333333333334,130.33333333333334,345359.4030116995,0.5544466622310933,20.97056134147241,2477.5677770376205,0.5555555555555556,no_rollout,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/no_rollout
no_rollout,tomato_soup_can_yalehand0,005_tomato_soup_can,94.82641407972704,38.31855555861672,5.980292218824329,4.689092762487258,5.436629289840299,96.42759060970306,1763.6368462287878,57.14547914225638,872.8888888888889,872.7777777777778,872.7777777777778,872.7777777777778,2199440.8778284364,0.4587155963302752,20.810658284477228,2494.450013153255,0.5555555555555556,no_rollout,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/05_ablations/no_rollout
