Baseline / Method,ADD-S (tomato_soup_can_yalehand0_clean),Failure Rate (tomato_soup_can_yalehand0_clean),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_clean),False Triggers (tomato_soup_can_yalehand0_clean),ADD-S (tomato_soup_can_yalehand0_black10),Failure Rate (tomato_soup_can_yalehand0_black10),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_black10),False Triggers (tomato_soup_can_yalehand0_black10),ADD-S (tomato_soup_can_yalehand0_black10_2),Failure Rate (tomato_soup_can_yalehand0_black10_2),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_black10_2),False Triggers (tomato_soup_can_yalehand0_black10_2),ADD-S (tomato_soup_can_yalehand0_black10_3),Failure Rate (tomato_soup_can_yalehand0_black10_3),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_black10_3),False Triggers (tomato_soup_can_yalehand0_black10_3),ADD-S (tomato_soup_can_yalehand0_black10_4),Failure Rate (tomato_soup_can_yalehand0_black10_4),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_black10_4),False Triggers (tomato_soup_can_yalehand0_black10_4),ADD-S (tomato_soup_can_yalehand0_black10_5),Failure Rate (tomato_soup_can_yalehand0_black10_5),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_black10_5),False Triggers (tomato_soup_can_yalehand0_black10_5),ADD-S (tomato_soup_can_yalehand0_occ40),Failure Rate (tomato_soup_can_yalehand0_occ40),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_occ40),False Triggers (tomato_soup_can_yalehand0_occ40),ADD-S (tomato_soup_can_yalehand0_occ60),Failure Rate (tomato_soup_can_yalehand0_occ60),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_occ60),False Triggers (tomato_soup_can_yalehand0_occ60),ADD-S (tomato_soup_can_yalehand0_drop60),Failure Rate (tomato_soup_can_yalehand0_drop60),Legacy latency <0.5cm single-frame (tomato_soup_can_yalehand0_drop60),False Triggers (tomato_soup_can_yalehand0_drop60),Mean ADD-S (%)
B1: Obs-Only se(3)-TrackNet,96.879%,0.000%,N/A,N/A,7.082%,92.966%,N/A (Failed),N/A,18.993%,80.734%,N/A (Failed),N/A,24.754%,74.618%,N/A (Failed),N/A,36.849%,62.385%,N/A (Failed),N/A,45.080%,53.976%,N/A (Failed),N/A,96.847%,0.000%,N/A,N/A,17.535%,90.061%,N/A,N/A,0.847%,99.465%,N/A,N/A,38.319%
B2: Fixed-Alpha (0.5) Interpolation,96.865%,0.000%,N/A,N/A,7.091%,92.966%,N/A (Failed),N/A,19.001%,80.734%,N/A (Failed),N/A,24.758%,74.618%,N/A (Failed),N/A,36.848%,62.385%,N/A (Failed),N/A,45.073%,53.976%,N/A (Failed),N/A,96.836%,0.000%,N/A,N/A,17.534%,90.061%,N/A,N/A,0.850%,99.465%,N/A,N/A,38.317%
B3: Hard Depth Threshold,96.879%,0.000%,N/A,N/A,7.449%,92.355%,N/A (Failed),N/A,19.354%,80.122%,N/A (Failed),N/A,25.151%,74.006%,N/A (Failed),N/A,44.970%,59.174%,0.0 frames,N/A,51.829%,49.388%,0.0 frames,N/A,96.846%,0.000%,N/A,N/A,17.561%,90.061%,N/A,N/A,0.845%,99.465%,N/A,N/A,40.098%
B4: Robust Huber Weighting,96.879%,0.000%,N/A,N/A,7.103%,92.890%,N/A (Failed),N/A,19.020%,80.657%,N/A (Failed),N/A,24.766%,74.541%,N/A (Failed),N/A,36.866%,62.309%,N/A (Failed),N/A,45.084%,53.899%,N/A (Failed),N/A,96.848%,0.000%,N/A,N/A,17.537%,90.061%,N/A,N/A,0.846%,99.465%,N/A,N/A,38.328%
B5 slot: no_observer_reseed,96.865%,0.000%,N/A,N/A,7.681%,92.202%,0.0 frames,N/A,65.515%,43.349%,141.0 frames,N/A,25.301%,73.853%,251.0 frames,N/A,72.903%,36.544%,0.0 frames,N/A,74.915%,31.728%,0.0 frames,N/A,96.836%,0.000%,N/A,N/A,17.527%,90.061%,N/A,N/A,44.392%,60.780%,N/A,N/A,55.771%
B6: Obs/Prior/Policy-Output Hindsight Oracle (same rollout),96.944%,0.000%,N/A,N/A,7.718%,92.125%,0.0 frames,N/A,65.552%,43.272%,141.0 frames,N/A,25.362%,73.777%,251.0 frames,N/A,72.956%,36.544%,0.0 frames,N/A,75.018%,31.651%,0.0 frames,N/A,96.926%,0.000%,N/A,N/A,17.597%,89.985%,N/A,N/A,44.593%,60.780%,N/A,N/A,55.852%
