Metric,Value,variant,base_sequence
prior_advantage_margin_cm,0.1,mode3_history_reset,sugar_box1
Shared error MAE_obs_cm,7.385475050734186,mode3_history_reset,tomato_soup_can_yalehand0
Shared error MedianAE_obs_cm,0.2479059918827265,mode3_history_reset,tomato_soup_can_yalehand0
Shared error Spearman_obs,0.1826132730848951,mode3_history_reset,tomato_soup_can_yalehand0
AUROC_obs_abs_risk,0.5379604712532888,mode3_history_reset,tomato_soup_can_yalehand0
AUPRC_obs_abs_risk,0.3968216825134579,mode3_history_reset,tomato_soup_can_yalehand0
Brier_obs_abs_risk,0.2391992350795834,mode3_history_reset,tomato_soup_can_yalehand0
ECE_obs_abs_risk,0.2365817701891473,mode3_history_reset,tomato_soup_can_yalehand0
Shared error MAE_prior_cm,7.263308439779981,mode3_history_reset,tomato_soup_can_yalehand0
Shared error MedianAE_prior_cm,0.2395964940428125,mode3_history_reset,tomato_soup_can_yalehand0
Shared error Spearman_prior,0.1850925545176414,mode3_history_reset,tomato_soup_can_yalehand0
AUROC_prior_abs_risk,0.5264912311041768,mode3_history_reset,tomato_soup_can_yalehand0
AUPRC_prior_abs_risk,0.3306588085264601,mode3_history_reset,tomato_soup_can_yalehand0
Brier_prior_abs_risk,0.2450896092666342,mode3_history_reset,tomato_soup_can_yalehand0
ECE_prior_abs_risk,0.2434926897844509,mode3_history_reset,tomato_soup_can_yalehand0
Pairwise_AUROC_prior_worse,0.6067411795313093,mode3_history_reset,tomato_soup_can_yalehand0
Pairwise_balanced_accuracy,0.5293406912285616,mode3_history_reset,tomato_soup_can_yalehand0
Pairwise_ordering_accuracy,0.5329608938547487,mode3_history_reset,tomato_soup_can_yalehand0
p_risk_threshold_shared,0.2499999999999999,mode3_history_reset,tomato_soup_can_yalehand0
prior_advantage_margin_cm,0.1,mode3_history_reset,tomato_soup_can_yalehand0
