episode,recovery_frame,recovery_trigger,raw_recovery_generated,raw_recovery_error_cm,accepted_recovery,accepted_recovery_error_cm,recovery_used,B1_error_cm,B5_operational_error_cm,raw_minus_B1_cm,accepted_minus_B1_cm,operational_minus_B1_cm
sugar_box_yalehand0_black10,100,blackout_exit,True,2.339115913800489,True,2.339115913800489,True,7.912795022995531,2.339115913800489,-5.573679109195042,-5.573679109195042,-5.573679109195042
sugar_box_yalehand0_black10_2,260,blackout_exit,True,0.2988790153402283,True,0.2988790153402283,True,13.598788614812463,0.2988790153402283,-13.299909599472235,-13.299909599472235,-13.299909599472235
sugar_box_yalehand0_black10_3,340,blackout_exit,True,0.2659705538188955,True,0.2659705538188955,True,10.79464788730711,0.2659705538188955,-10.528677333488215,-10.528677333488215,-10.528677333488215
sugar_box_yalehand0_black10_4,500,blackout_exit,True,0.27165069917337004,True,0.27165069917337004,True,13.196755555218845,0.27165069917337004,-12.925104856045476,-12.925104856045476,-12.925104856045476
sugar_box_yalehand0_black10_5,610,blackout_exit,True,0.3391083444342265,True,0.3391083444342265,True,14.48125578674276,0.3391083444342265,-14.142147442308534,-14.142147442308534,-14.142147442308534
