stage	started_utc	finished_utc	exit_code
01_shared_source	2026-09-20T15:47:17Z	2026-09-20T15:47:21Z	0
02_refit	2026-09-20T15:47:21Z	2026-09-20T15:47:24Z	0
03_calibration	2026-09-20T15:47:24Z	2026-09-20T15:47:45Z	0
04_preflight	2026-09-20T15:47:45Z	2026-09-20T16:01:50Z	0
04_no_reseed	2026-09-20T16:01:50Z	2026-09-20T23:12:55Z	0
05_preflight	2026-09-20T23:12:55Z	2026-09-20T23:24:58Z	0
05_mode3_reset	2026-09-20T23:24:58Z	2026-09-21T06:37:53Z	0
